step,x_position,y_position,drivingMode,gameMode,frame,current_checkpoint,surface,reward,total_reward
0,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[134, 134, 134, 134, 134, 134, 134, 134]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],0
1,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[138, 138, 138, 138, 138, 138, 138, 138]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
2,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[142, 142, 142, 142, 142, 142, 142, 142]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
3,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[146, 146, 146, 146, 146, 146, 146, 146]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
4,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[150, 150, 150, 150, 150, 150, 150, 150]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
5,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[154, 154, 154, 154, 154, 154, 154, 154]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
6,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[158, 158, 158, 158, 158, 158, 158, 158]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
7,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[162, 162, 162, 162, 162, 162, 162, 162]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
8,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[166, 166, 166, 166, 166, 166, 166, 166]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
9,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[170, 170, 170, 170, 170, 170, 170, 170]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
10,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[174, 174, 174, 174, 174, 174, 174, 174]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
11,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[178, 178, 178, 178, 178, 178, 178, 178]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
