,x_position,y_position,checkpoints,surfaces,speed
0,3712,2288,29,64,0
1,3712,2288,29,64,0
2,3712,2288,29,64,0
3,3712,2288,29,64,0
4,3712,2288,29,64,0
5,3712,2288,29,64,0
6,3712,2288,29,64,0
7,3712,2288,29,64,0
8,3712,2288,29,64,0
9,3712,2288,29,64,0
10,3712,2288,29,64,0
11,3712,2288,29,64,0
12,3712,2288,29,64,0
13,3712,2288,29,64,0
14,3712,2287,29,64,8
15,3712,2287,29,64,16
16,3711,2286,29,64,24
17,3711,2284,29,64,32
18,3711,2282,29,64,40
19,3711,2279,29,64,48
20,3711,2276,29,64,56
21,3711,2272,29,64,64
22,3710,2268,29,64,88
23,3710,2262,29,64,112
24,3709,2255,29,64,134
25,3707,2246,29,64,150
26,3706,2236,0,64,166
27,3704,2226,0,64,158
28,3702,2217,0,64,142
29,3700,2209,0,64,126
30,3699,2201,0,64,110
31,3698,2195,0,64,94
32,3697,2189,0,64,78
33,3697,2185,0,64,62
34,3697,2181,0,64,46
35,3696,2179,0,64,30
36,3696,2178,0,64,14
37,3696,2177,0,64,16
38,3696,2176,0,64,24
39,3696,2174,0,64,32
40,3696,2172,0,64,40
41,3696,2169,0,64,48
42,3696,2166,0,64,56
43,3696,2163,0,64,64
44,3695,2158,0,64,88
45,3695,2152,0,64,112
46,3695,2145,0,64,134
47,3695,2136,0,64,150
48,3694,2126,0,64,166
49,3694,2116,0,64,158
50,3693,2107,0,64,142
51,3693,2098,0,64,126
52,3693,2091,0,64,110
53,3693,2084,0,64,124
54,3692,2076,0,64,142
55,3692,2066,0,64,158
56,3692,2056,0,64,174
57,3691,2045,0,64,190
58,3691,2033,0,64,218
59,3691,2018,0,64,250
60,3691,2002,0,64,294
61,3691,1982,0,64,342
62,3691,1960,0,64,390
63,3690,1935,0,64,438
64,3690,1906,0,64,474
65,3690,1877,0,64,464
66,3689,1848,1,64,440
67,3689,1821,1,64,416
68,3688,1796,1,64,392
69,3687,1772,1,64,368
70,3684,1750,1,64,344
71,3680,1730,1,64,320
72,3673,1711,1,64,296
73,3665,1695,1,64,272
74,3655,1681,1,64,302
75,3642,1666,1,64,350
76,3624,1652,1,64,398
77,3603,1638,1,64,392
78,3581,1628,1,64,368
79,3559,1622,1,64,344
80,3539,1617,1,64,320
81,3520,1614,1,64,296
82,3502,1612,1,64,272
83,3486,1610,1,64,250
84,3471,1607,1,64,234
85,3457,1603,1,64,218
86,3444,1599,2,64,202
87,3433,1594,2,64,186
88,3423,1588,2,64,170
89,3416,1581,2,64,154
90,3409,1575,2,64,138
91,3405,1568,2,64,122
92,3401,1562,2,64,106
93,3397,1557,2,64,90
94,3394,1552,2,64,74
95,3391,1549,2,64,88
96,3387,1544,2,64,112
97,3382,1538,2,64,134
98,3377,1532,2,64,150
99,3370,1525,2,64,166
100,3362,1517,2,64,182
101,3353,1510,2,64,202
102,3342,1503,2,64,234
103,3328,1496,2,64,270
104,3311,1491,2,64,264
105,3296,1488,2,64,243
106,3281,1485,2,64,227
107,3267,1483,2,64,211
108,3255,1481,3,64,195
109,3243,1479,3,64,179
110,3232,1477,3,64,163
111,3223,1474,3,64,147
112,3215,1470,3,64,131
113,3208,1466,3,64,115
114,3203,1462,3,64,99
115,3198,1459,3,64,83
116,3194,1456,3,64,67
117,3191,1454,3,64,51
118,3189,1452,3,64,35
119,3187,1451,3,64,37
120,3185,1450,3,64,27
121,3184,1449,3,64,11
122,3184,1449,3,64,0
123,3184,1449,3,64,0
124,3184,1449,3,64,0
125,3184,1449,3,64,0
126,3184,1449,3,64,0
127,3184,1449,3,64,0
128,3184,1449,3,64,0
129,3184,1449,3,64,0
130,3184,1449,3,64,0
131,3184,1449,3,64,0
132,3184,1449,3,64,0
133,3184,1449,3,64,0
134,3184,1449,3,64,0
135,3184,1449,3,64,0
136,3184,1449,3,64,0
137,3184,1449,3,64,0
138,3184,1449,3,64,0
139,3184,1449,3,64,0
140,3184,1449,3,64,0
141,3184,1449,3,64,0
142,3184,1449,3,64,0
143,3184,1449,3,64,0
144,3184,1449,3,64,0
145,3184,1449,3,64,0
146,3184,1449,3,64,6
147,3183,1448,3,64,14
148,3183,1448,3,64,4
149,3183,1448,3,64,0
150,3182,1448,3,64,6
151,3182,1448,3,64,14
