,x_position,y_position
0,3712,2288
1,3712,2288
2,3712,2288
3,3712,2287
4,3712,2287
5,3711,2286
6,3711,2284
7,3711,2282
8,3711,2279
9,3711,2276
10,3711,2272
11,3710,2268
12,3710,2262
13,3709,2254
14,3708,2246
15,3707,2236
16,3706,2225
17,3704,2214
18,3703,2201
19,3701,2185
20,3699,2167
21,3697,2147
22,3693,2123
23,3688,2096
24,3680,2068
25,3671,2038
26,3661,2006
27,3650,1973
28,3639,1938
29,3628,1902
30,3615,1865
31,3602,1828
32,3586,1790
33,3567,1754
34,3545,1719
35,3519,1686
36,3489,1656
37,3455,1630
38,3419,1606
39,3381,1584
40,3341,1564
41,3301,1545
42,3260,1527
43,3712,2288
44,3712,2288
45,3712,2288
46,3712,2287
47,3712,2287
48,3711,2286
49,3711,2284
50,3711,2282
51,3711,2279
52,3711,2276
53,3711,2272
54,3710,2268
55,3710,2262
56,3709,2254
57,3708,2246
58,3707,2236
59,3706,2225
60,3704,2214
61,3703,2201
62,3701,2185
63,3699,2167
64,3697,2147
65,3694,2123
66,3689,2096
67,3682,2068
68,3674,2037
69,3666,2005
70,3657,1971
71,3648,1935
72,3638,1899
73,3627,1862
74,3613,1824
75,3597,1787
76,3577,1752
77,3553,1718
78,3526,1687
79,3494,1658
80,3459,1633
81,3423,1609
82,3385,1587
83,3346,1566
84,3306,1545
85,3266,1524
86,3256,1519
87,3712,2288
88,3712,2288
89,3712,2288
90,3712,2287
91,3712,2287
92,3711,2286
93,3711,2284
94,3711,2282
95,3711,2279
96,3711,2276
97,3711,2272
98,3710,2268
99,3710,2262
100,3709,2254
101,3708,2246
102,3707,2236
103,3706,2225
104,3704,2214
105,3703,2201
106,3701,2185
107,3699,2167
108,3697,2147
109,3693,2123
110,3688,2096
111,3681,2068
112,3672,2038
113,3663,2006
114,3653,1972
115,3643,1937
116,3633,1900
117,3622,1863
118,3609,1825
119,3595,1787
120,3578,1750
121,3558,1714
122,3534,1680
123,3506,1648
124,3474,1619
125,3439,1594
126,3401,1572
127,3361,1552
128,3320,1534
129,3279,1516
130,3258,1507
131,3712,2288
132,3712,2288
133,3712,2288
134,3712,2287
135,3712,2287
136,3711,2286
137,3711,2284
138,3711,2282
139,3711,2279
140,3711,2276
141,3711,2272
