#{"t_start": 1753310007.6311991, "env_id": "None"}
r,l,t
-240.945,1622,5.668904
-278.188,1622,10.250319
-182.089,1622,18.45826
-131.267,1622,23.052936
-162.289,1622,27.591646
-134.658,1622,35.806279
-162.776,1622,40.347135
-113.937,1622,48.580915
-73.447,1622,53.138853
-44.895999,1622,57.672244
-443.4645,1622,65.89572
-50.12,1622,70.450057
-643.308001,1622,78.641522
-403.988,1622,83.209754
-1212.8385,1622,87.812769
-1016.817001,1622,96.062256
-39.554,1622,100.626198
-19.97,1622,108.80769
-20.351,1622,113.387666
-1014.718,1622,117.954542
-40.162,1622,126.235319
-44.973,1622,130.868385
-278.427999,1622,139.19629
-296.164001,1622,143.829314
-6.299999,1622,148.476493
-98.471,750,154.283743
-33.149999,1107,157.471199
-19.516,1622,162.118552
-1221.901002,1622,170.455135
11.341001,1622,175.021493
-948.236001,1622,179.56311
-1045.029001,1622,187.902511
-1179.124001,1622,192.472439
-41.085,1622,200.767092
-20.877,1622,205.354246
-46.106,1622,210.007959
-39.363,1622,218.351134
-63.25,1622,222.994565
-37.396001,1622,231.315192
-1245.224001,1622,235.985516
-34.879,1622,240.676504
-41.368,1622,249.032222
-617.094001,1622,253.649946
-45.021,1622,262.053252
-13.713,1622,266.718517
-1180.899502,1622,271.370665
-880.637502,1622,279.718642
-965.413001,1622,284.344022
-1115.0865,1622,292.702408
27.387001,1330,296.498099
-103.568998,1352,300.360476
-33.707,1622,308.708949
-8.854,1622,313.329742
137.203501,782,315.637802
16.335999,1622,323.936266
-401.191501,1622,328.580806
-767.283,1622,333.181581
-12.221999,1622,341.416429
-2.807,1622,346.038763
134.6195,1023,348.895445
-1150.628,1622,357.156296
-645.16,1622,361.729836
129.450499,614,363.452806
55.509999,1622,371.704245
-564.116,1622,376.292636
-44.47,1622,384.54523
-50.412,1622,389.159898
-13.610999,1622,393.729493
111.577001,794,399.681272
-1413.771001,1622,404.270165
-109.957,1622,408.882545
32.234998,705,414.562328
-37.935501,837,416.9357
130.972001,650,418.76001
-80.254001,662,420.624685
136.5795,546,422.152103
-1258.4295,1622,430.379529
-32.14,1622,435.029542
144.947501,814,437.367495
-1269.354001,1622,445.563883
136.310999,1340,449.316603
31.206,1622,453.865196
142.106,911,460.173382
-49.279,1622,464.754658
-13.538,1622,469.341816
-9.5,1622,477.619782
-26.809,1622,482.201436
-34.604,1622,490.467385
-1137.418501,1622,495.022276
-89.144,1622,499.610425
105.824,1165,506.57195
-22.517,1622,511.124005
137.879,1273,514.70601
132.2775,1288,521.98441
-8.475,1622,526.530413
138.7485,866,528.963645
-720.097,1622,537.14303
-33.898,1622,541.694867
101.032,1622,546.259001
128.052499,1439,553.95321
20.657001,1622,558.506787
-44.506499,578,560.160315
-2.416,1622,568.381264
9.698,1622,572.937243
-11.662,1054,575.91298
67.644501,523,577.387091
110.956002,1622,585.599657
20.280499,1622,590.185828
140.102001,1366,597.717403
116.0615,810,600.034872
82.083,938,602.685581
142.334,545,604.224571
143.251,462,605.541693
143.1055,537,607.073398
117.002,494,612.102734
142.394002,663,614.016485
140.822,802,616.310766
137.822999,781,618.505703
141.6655,724,620.543965
139.006,779,622.734192
139.357501,816,628.67494
59.055998,835,631.070552
138.804999,718,633.088076
98.525501,1622,637.733494
-3.307,1622,645.927864
-5.274,1622,650.484058
-10.202,1622,658.632826
29.447,1622,663.191268
-20.224999,1622,667.812874
132.568,1359,675.25011
124.607,1424,679.283799
20.657999,1622,683.852829
5.622,1622,692.098035
136.354001,1095,695.194551
134.453,1424,703.918894
-39.316,1622,708.494569
-5.213,1622,713.081227
-44.402,1622,721.251027
24.453001,1622,725.870359
-28.6,1622,730.533213
143.375501,474,735.588379
138.882501,728,737.649169
133.470001,984,740.455916
142.044001,590,742.17039
25.771499,868,744.66759
53.388001,596,750.143291
140.095999,655,752.00504
128.208,959,754.744136
140.5315,542,756.490189
143.598499,602,758.192925
141.122499,586,759.8528
142.2345,492,761.27275
143.608,730,767.059967
145.108,543,768.639904
137.250001,648,770.474104
145.213001,674,772.382584
141.806,529,773.875993
135.511501,632,775.661494
59.988502,520,780.778025
140.033,852,783.19447
142.6965,688,785.139542
140.553,633,786.938269
-540.651,1622,791.508347
143.229999,672,797.074776
138.145,924,799.801441
140.219501,960,802.536356
-779.184001,1622,807.10907
132.845,1406,814.722803
