time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/value_loss
19,1622.0,-255.7333335,1,310,6144,,,,,,,,,,
59,1622.0,-212.3303334,2,205,12288,0.00025,4,0.2,0.2992350260416667,-0.00353395938873291,8.226502418518066,0.017127221,-0.028570370937814005,-8.301899482806524,16.75380249818166
94,1622.0,-175.52357152380955,3,195,18432,0.00025,8,0.2,0.2703043619791667,0.1512334942817688,6.246014595031738,0.018243553,-0.023072800308000296,-8.266069720188776,16.487201690673828
130,1622.0,-135.52175018333338,4,187,24576,0.00025,12,0.2,0.3580322265625,0.11143678426742554,9.395179748535156,0.018482944,-0.02390344289597124,-8.17905107140541,22.143712908029556
169,1605.4520547945206,-75.6946578219178,5,181,30720,0.00025,16,0.2,0.2852783203125,0.11622750759124756,7.833014011383057,0.022020837,-0.007730111596174538,-8.130279044310251,28.19073623418808
205,1608.5777777777778,-86.9533894111111,6,179,36864,0.00025,20,0.2,0.3900146484375,0.4013037085533142,7.403921604156494,0.018663542,0.013268136848637369,-8.045348107814789,29.721484422683716
237,1609.86,-84.30615067000001,7,180,43008,0.00025,24,0.2,0.3546956380208333,0.7118502259254456,6.11974573135376,0.013703428,0.024368879448350828,-8.03756651779016,25.862782686948776
270,1609.86,-95.86305108,8,181,49152,0.00025,28,0.2,0.3529459635416667,0.8900158405303955,8.23012638092041,0.021533772,0.02498253404337447,-8.042307550708452,27.298244734605152
306,1601.54,-79.04265123,9,180,55296,0.00025,32,0.2,0.2504069010416667,0.936048150062561,7.398414611816406,0.02536414,0.012283441741601564,-8.056569188833237,30.879622509082157
340,1596.42,-96.00550151999998,10,180,61440,0.00025,36,0.2,0.3495686848958333,0.9403650760650635,11.847762107849121,0.02596218,0.016055481479270384,-8.053066293398539,33.08132563034693
373,1592.56,-85.45550168,11,180,67584,0.00025,40,0.2,0.2938639322916667,0.9437177181243896,21.053205490112305,0.027950615,0.012666652752765609,-8.043811107675234,46.74179212252299
407,1571.89,-83.29755171999999,12,180,73728,0.00025,44,0.2,0.2565104166666667,0.949048638343811,23.410371780395508,0.022944301,0.00757909467696057,-7.986454829573631,53.39780660470327
438,1571.95,-45.500151609999996,13,182,79872,0.00025,48,0.2,0.2642415364583333,0.9469547867774963,17.299705505371094,0.0140971495,0.0069352274828512845,-8.000401253501574,52.06626586119334
461,1538.0,23.126298559999995,14,186,86016,0.00025,52,0.2,0.3672688802083333,0.9511590600013733,9.75822639465332,0.031332415,0.011604676299612038,-7.982604622840881,33.0806711713473
487,1491.34,89.02744863,15,189,92160,0.00025,56,0.2,0.2603352864583333,0.9289131760597229,16.050413131713867,0.012249611,0.010160485503244368,-8.006249864896139,45.17665312687556
512,1397.12,200.72504889,16,191,98304,0.00025,60,0.2,0.2545572916666667,0.9418089389801025,21.568517684936523,0.014691871,0.004722672781402555,-7.948553750912349,66.5112943649292
537,1329.42,269.26449906999994,17,194,104448,0.00025,64,0.2,0.2578125,0.9493851065635681,20.50609016418457,0.01858374,0.0054028712123302585,-7.9065668533245725,61.67022136847178
560,1277.88,324.80774905,18,197,110592,0.00025,68,0.2,0.22294108072916666,0.9523928165435791,21.95233917236328,0.015715525,0.004286884172567322,-7.9533796310424805,50.55543758471807
584,1229.78,402.65859917,19,199,116736,0.00025,72,0.2,0.3364664713541667,0.9462755918502808,16.2626953125,0.018527135,0.009728459631636118,-7.924317811926206,42.32119437058767
609,1210.21,453.88769931999997,20,201,122880,0.00025,76,0.2,0.333984375,0.9468813538551331,17.337966918945312,0.022310996,0.00870984669503135,-7.94453922410806,45.70564657449722
632,1216.84,468.14079936,21,204,129024,0.00025,80,0.2,0.2635498046875,0.9382650852203369,15.130849838256836,0.022566244,0.004290544871764723,-7.896127343177795,34.356776654720306
657,1221.23,510.45299937,22,205,135168,0.00025,84,0.2,0.3831380208333333,0.9438998699188232,22.417348861694336,0.028842235,0.011800975972922364,-7.847305526336034,40.620830138524376
682,1179.68,565.8264995999999,23,206,141312,0.00025,88,0.2,0.4297688802083333,0.9418604373931885,14.939647674560547,0.03666077,0.015952495710128762,-7.85163635512193,28.98749711116155
708,1147.56,596.7447497100001,24,208,147456,0.00025,92,0.2,0.3584798177083333,0.9527975916862488,10.458734512329102,0.03817123,0.007290604470957381,-7.836695099870364,26.729285796483357
733,1096.54,639.79099982,25,209,153600,0.00025,96,0.2,0.3916422526041667,0.9519074559211731,11.714960098266602,0.053051878,0.013244311737556322,-7.783480857809384,25.895595173041027
761,1081.45,672.9490499299999,26,209,159744,0.00025,100,0.2,0.2936604817708333,0.9341592788696289,9.326043128967285,0.020081975,0.009791748957165206,-7.808836380640666,26.651947279771168
791,1084.21,661.07210001,27,209,165888,0.00025,104,0.2,0.4031982421875,0.9540419578552246,7.5687761306762695,0.037153807,0.013265969755593687,-7.749735896786054,24.12935655315717
825,1095.21,602.7486998699999,28,208,172032,0.00025,108,0.2,0.37548828125,0.9520089626312256,9.816888809204102,0.03112699,0.00989418821215319,-7.765730356176694,28.090052833159763
856,1142.1,569.65989982,29,208,178176,0.00025,112,0.2,0.2958170572916667,0.9099363088607788,9.338008880615234,0.020786881,0.0028309650127387917,-7.8085157970587415,34.826602737108864
885,1102.72,584.21119967,30,208,184320,0.00025,116,0.2,0.37109375,0.9462690949440002,14.619763374328613,0.028254518,0.012708501987314472,-7.725318625569344,35.12594213088354
912,1080.36,582.2133495699999,31,208,190464,0.00025,120,0.2,0.322265625,0.9420557618141174,6.3960280418396,0.020322345,0.0087603180630443,-7.780101557572682,18.620613674322765
937,993.9,660.84484959,32,209,196608,0.00025,124,0.2,0.3131103515625,0.9361509084701538,10.269527435302734,0.028115263,0.005925137083977461,-7.7066637972990675,24.516538431247074
964,936.82,664.3594494800001,33,210,202752,0.00025,128,0.2,0.3766682942708333,0.9486088752746582,7.435423851013184,0.023726841,0.014368323352149067,-7.653767699996631,22.615391224622726
992,950.39,676.59929955,34,210,208896,0.00025,132,0.2,0.2930501302083333,0.9583562016487122,13.073701858520508,0.023030972,0.003325330762891099,-7.723279570539792,30.473303616046906
1019,1014.26,647.94439959,35,210,215040,0.00025,136,0.2,0.3113606770833333,0.9617940783500671,6.485827922821045,0.027538037,0.00883612982215709,-7.619047711292903,24.02584222952525
1048,1096.83,594.45964952,36,211,221184,0.00025,140,0.2,0.3494059244791667,0.942717432975769,11.06721305847168,0.022253146,0.005309691555642833,-7.609821870923042,24.98065447807312
1078,1139.04,606.24629968,37,210,227328,0.00025,144,0.2,0.4313151041666667,0.9165130257606506,7.004247665405273,0.04680821,0.011158261491800658,-7.555502682924271,25.009701788425446
1109,1159.02,612.43164984,38,210,233472,0.00025,148,0.2,0.3381754557291667,0.9530701041221619,10.073678970336914,0.025047446,0.009233887765731197,-7.612156560023625,23.162889897823334
1140,1219.34,590.74729988,39,210,239616,0.00025,152,0.2,0.3813883463541667,0.9547569155693054,5.399420261383057,0.031172382,0.014570307752971226,-7.571612159411113,17.004940817753475
1169,1218.71,583.4317497699999,40,210,245760,0.00025,156,0.2,0.3671061197916667,0.9538018703460693,5.043744087219238,0.048705548,0.010092499006229142,-7.60734748840332,14.895633121331533
1196,1210.91,588.78569979,41,210,251904,0.00025,160,0.2,0.4103597005208333,0.9552459120750427,5.482823848724365,0.044428263,0.015344763363827951,-7.702282597621282,16.844646284977596
1223,1144.2,593.94979968,42,210,258048,0.00025,164,0.2,0.4029134114583333,0.9491775035858154,5.396035194396973,0.044583097,0.007026180030758648,-7.741366242369016,14.397698591152826
1250,1110.4,573.8041995899999,43,211,264192,0.00025,168,0.2,0.3280436197916667,0.9623697400093079,5.081135272979736,0.030028373,0.006388185909599997,-7.784701019525528,11.181189666191736
1281,909.62,657.42654987,44,210,270336,0.00025,172,0.2,0.3163248697916667,0.9355936646461487,5.28707218170166,0.025198782,0.01229627123272318,-7.727525765697162,15.479134092728296
1316,814.25,680.8697999300001,45,209,276480,0.00025,176,0.2,0.3838704427083333,0.9556558132171631,5.765350341796875,0.032098692,0.008838508823828306,-7.668676937619845,14.756976584593454
1360,780.32,702.79899991,46,207,282624,0.00025,180,0.2,0.31787109375,0.9365432262420654,3.7907164096832275,0.03624467,0.017524631960744348,-7.619511395692825,13.644979228576025
1399,817.68,711.4921499099999,47,206,288768,0.00025,184,0.2,0.354248046875,0.9619422554969788,7.054970741271973,0.035949428,0.01238474859322499,-7.612384791175525,14.107223376631737
1434,896.31,677.3216496000001,48,205,294912,0.00025,188,0.2,0.2764078776041667,0.9515178799629211,10.679121017456055,0.014930158,0.0073975088622925496,-7.6376073360443115,19.19569742679596
1462,918.03,698.09499961,49,205,301056,0.00025,192,0.2,0.317626953125,0.963538646697998,8.437474250793457,0.025199398,0.004466024103749078,-7.673039744297664,18.381500095129013
1486,986.78,689.2114994899999,50,206,307200,0.00025,196,0.2,0.3518880208333333,0.9685716032981873,4.166950225830078,0.038097207,0.014046142918232363,-7.723085721333821,10.781298955281576
1512,1028.39,644.55484945,51,207,313344,0.00025,200,0.2,0.287353515625,0.9642109870910645,5.54799747467041,0.023023682,0.007810557911094899,-7.630209142963092,19.09020492931207
1538,1029.19,644.62759946,52,207,319488,0.00025,204,0.2,0.3062744140625,0.9598885178565979,9.820015907287598,0.026612043,0.006747832434484735,-7.5268189410368604,29.55817640821139
1560,1057.28,622.5116994900001,53,208,325632,0.00025,208,0.2,0.3039957682291667,0.969423234462738,5.691915512084961,0.02251423,0.005249066680941421,-7.622944409648578,13.894626135627428
1587,1140.56,525.82809945,54,208,331776,0.00025,212,0.2,0.3397623697916667,0.9635449647903442,6.2575907707214355,0.027724588,0.008362592687869133,-7.679012934366862,19.30265486240387
1615,1196.59,449.30644937000005,55,209,337920,0.00025,216,0.2,0.282470703125,0.9545193910598755,11.516995429992676,0.023160176,0.00454869801857664,-7.5782424459854765,42.96667300661405
1644,1204.59,429.58664937000003,56,209,344064,0.00025,220,0.2,0.3518473307291667,0.9701895713806152,6.749606132507324,0.026844746,0.009635262821878618,-7.559075390299161,21.811855107545853
