time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/explained_variance
14,-438.6583486666666,1,428,1622.0,6144,,,,,,,,,,
35,-466.1333497,2,345,1622.0,12288,-8.289574901262919,0.012380283010619072,0.03905596,0.369873046875,19.351078969736893,0.2,4,0.00025,2.1910905838012695,-0.0028117895126342773
60,-490.7476363571429,3,306,1622.0,18432,-8.235178828239441,0.020521507224960562,0.0675404,0.4042154947916667,27.400724987188976,0.2,8,0.00025,3.8800594806671143,0.12508738040924072
84,-509.8583514333333,4,289,1622.0,24576,-8.133458524942398,0.026137035302478278,0.080287114,0.5287679036458334,28.135761072238285,0.2,12,0.00025,10.864863395690918,0.17324185371398926
106,-510.7972403472221,5,288,1622.0,30720,-8.029334415992102,0.02327766709398323,0.02963044,0.46875,31.598767658074696,0.2,16,0.00025,11.825204849243164,0.458798885345459
131,-504.5889067444445,6,280,1622.0,36864,-8.042018269499144,0.010724182040576125,0.05697302,0.4000244140625,22.372714097301166,0.2,20,0.00025,5.24613094329834,0.8149683475494385
155,-496.0650175200001,7,276,1622.0,43008,-8.084000751376152,0.012385122859996045,0.07276368,0.3983154296875,24.119939704736073,0.2,24,0.00025,14.636809349060059,0.8775766491889954
178,-489.30001728,8,275,1622.0,49152,-8.050303012132645,0.0017011257465734768,0.012633942,0.19356282552083334,9.897051533063253,0.2,28,0.00025,3.128509521484375,0.9407069683074951
205,-475.4400167400001,9,269,1622.0,55296,-8.11518195271492,0.00815439413418062,0.0357298,0.3199462890625,16.681650415062904,0.2,32,0.00025,7.545015811920166,0.9525681734085083
232,-438.81001527000006,10,264,1622.0,61440,-8.091042876243591,0.020099758289385743,0.032106828,0.3961181640625,8.2773970986406,0.2,36,0.00025,1.6895167827606201,0.9527901411056519
255,-413.18501423000004,11,264,1622.0,67584,-7.976406782865524,0.03910374218927851,0.03212206,0.3976643880208333,7.991287544369698,0.2,40,0.00025,2.7206859588623047,0.9538009166717529
281,-377.27001275000003,12,261,1622.0,73728,-8.057671378056208,0.004498498142008127,0.008127995,0.1962890625,8.62113419175148,0.2,44,0.00025,2.248112678527832,0.9567420482635498
308,-367.91501219,13,258,1622.0,79872,-8.040740301211676,0.0030011249206533344,0.009419096,0.176025390625,6.561796690026919,0.2,48,0.00025,2.7447426319122314,0.9715602993965149
336,-347.3950113,14,255,1622.0,86016,-8.012429301937422,0.006856392011589681,0.0105250655,0.23291015625,6.510370281835397,0.2,52,0.00025,2.2226781845092773,0.9733223915100098
361,-340.825011,15,254,1622.0,92160,-7.870087017615636,0.07380547808133997,0.14241217,0.5071207682291666,6.711993212501208,0.2,56,0.00025,2.086456775665283,0.9884980916976929
391,-335.92501079,16,250,1622.0,98304,-8.002547333637873,0.014636984429671429,0.033888187,0.3023274739583333,5.220033014814059,0.2,60,0.00025,1.6370311975479126,0.9832615256309509
421,-340.32501097000005,17,248,1622.0,104448,-8.033661569158236,0.029789296590024605,0.028949535,0.461669921875,3.615019549926122,0.2,64,0.00025,1.4120972156524658,0.9916399121284485
451,-354.03001158000006,18,244,1622.0,110592,-8.10243852933248,0.025875029306916986,0.04584238,0.3976643880208333,5.538116003076236,0.2,68,0.00025,1.6431058645248413,0.986404538154602
480,-363.72501198000003,19,242,1622.0,116736,-8.097189476092657,0.006066475058711755,0.014831674,0.24641927083333334,4.480955680211385,0.2,72,0.00025,2.0045366287231445,0.9930559396743774
508,-369.1000124600001,20,241,1622.0,122880,-8.105187664429346,0.00656766872513496,0.009243482,0.1517333984375,4.838896182676156,0.2,76,0.00025,1.3150278329849243,0.989928126335144
532,-372.38501262000005,21,242,1622.0,129024,-8.11888418594996,0.004797802883937645,0.013047171,0.19816080729166666,3.9680252770582833,0.2,80,0.00025,1.3068042993545532,0.9954202175140381
559,-370.66001253,22,241,1622.0,135168,-8.141441216071447,0.004234177366015501,0.013678615,0.20027669270833334,3.9616674656669297,0.2,84,0.00025,1.0762379169464111,0.9945782423019409
589,-362.26001213,23,239,1622.0,141312,-8.10165998339653,0.004909012083468649,0.014860307,0.21940104166666666,3.6738344406088195,0.2,88,0.00025,1.050025224685669,0.9949376583099365
616,-351.39001166,24,239,1622.0,147456,-8.1391552289327,0.010646122512601627,0.018870715,0.2657063802083333,3.8277857999006906,0.2,92,0.00025,1.0333752632141113,0.9940347671508789
642,-330.58501074,25,239,1622.0,153600,-8.0838004052639,0.007680332118373674,0.011216332,0.22090657552083334,3.267782539129257,0.2,96,0.00025,0.9193106889724731,0.9950553774833679
673,-314.25001001000004,26,237,1622.0,159744,-8.069250717759132,0.0063544967318496974,0.014308373,0.20206705729166666,3.676853788395723,0.2,100,0.00025,0.9161522388458252,0.9948015809059143
704,-296.71000922,27,235,1622.0,165888,-8.046870176990828,0.007596788224570143,0.010830631,0.2374267578125,3.2621518770853677,0.2,104,0.00025,0.8808338046073914,0.9941256046295166
736,-294.22500885,28,233,1622.0,172032,-8.066669488946596,0.007716238954647754,0.014389568,0.22452799479166666,3.2000004053115845,0.2,108,0.00025,1.0416147708892822,0.9962314963340759
767,-322.3400091,29,232,1622.0,178176,-7.951243311166763,0.010237082848713422,0.019668562,0.2698567708333333,3.692013798902432,0.2,112,0.00025,1.0708485841751099,0.9931243062019348
797,-327.40000903,30,231,1622.0,184320,-7.870505685607593,0.0049012032128909295,0.011250228,0.20475260416666666,4.206375651061535,0.2,116,0.00025,1.5645394325256348,0.9926324486732483
825,-331.85000907999995,31,230,1622.0,190464,-7.77084755897522,0.008126545726554468,0.016961345,0.2719319661458333,3.1577597558498383,0.2,120,0.00025,0.8516409397125244,0.9938933253288269
849,-334.09500918,32,231,1622.0,196608,-7.757017741600673,0.009077083232114092,0.020646326,0.2821451822916667,2.7852950220306716,0.2,124,0.00025,0.7211247086524963,0.9969753623008728
877,-339.38500944,33,231,1622.0,202752,-7.817829325795174,0.006012359267818586,0.015727969,0.2514241536458333,2.7207257052262626,0.2,128,0.00025,0.6915797591209412,0.9963160753250122
904,-341.81500952000005,34,230,1622.0,208896,-7.838495830694835,0.01043559151730733,0.015932508,0.2685953776041667,2.434007634719213,0.2,132,0.00025,0.7930899858474731,0.9979407787322998
931,-325.01000930000004,35,230,1622.0,215040,-7.762284214297931,0.00963887843924264,0.020636598,0.2579752604166667,2.2039784900844097,0.2,136,0.00025,0.5754081606864929,0.9978594779968262
957,-310.95000907,36,231,1622.0,221184,-7.785154630740483,0.009863055051634243,0.0193919,0.2945963541666667,2.3076893277466297,0.2,140,0.00025,0.48412182927131653,0.9981985092163086
987,-303.11000891,37,230,1622.0,227328,-7.678542618950208,0.010399511173697343,0.031659767,0.2899169921875,2.5282362774014473,0.2,144,0.00025,0.6789873838424683,0.996819019317627
1020,-320.6400092,38,228,1622.0,233472,-7.6968690405289335,0.008786233646484712,0.016532486,0.2764078776041667,2.6483835813899836,0.2,148,0.00025,0.8834958076477051,0.9971804022789001
1053,-320.64500909,39,227,1622.0,239616,-7.688012987375259,0.008824697591383787,0.01912394,0.2915445963541667,2.8192617458601794,0.2,152,0.00025,0.9734976291656494,0.996052086353302
1086,-320.25500908000004,40,226,1622.0,245760,-7.6776172667741776,0.00617165352984254,0.02328121,0.26025390625,2.2385436991850534,0.2,156,0.00025,0.7311572432518005,0.9979614019393921
1116,-328.30500924,41,225,1622.0,251904,-7.788748800754547,0.009518919425318018,0.030060371,0.3187662760416667,2.1736859269440174,0.2,160,0.00025,0.7903125882148743,0.997631311416626
1144,-322.26000914,42,225,1622.0,258048,-7.815166746576627,0.010429610430340594,0.017414598,0.296875,1.9004380895445745,0.2,164,0.00025,0.4154142737388611,0.9987773299217224
1167,-344.09000960000003,43,226,1622.0,264192,-7.867837185660998,0.01334665129009712,0.021052176,0.3301595052083333,2.5511271469295025,0.2,168,0.00025,0.7772054076194763,0.9965251684188843
1193,-363.40000994,44,226,1622.0,270336,-7.842526276906331,0.014679581453189408,0.026278988,0.3586832682291667,2.108359028895696,0.2,172,0.00025,0.5067673325538635,0.9981569647789001
1219,-484.72501244000006,45,226,1622.0,276480,-7.884890188773473,0.012480272875109222,0.025648603,0.3062337239583333,2.7419074028730392,0.2,176,0.00025,0.9404685497283936,0.9966835379600525
1242,-679.5600165,46,227,1617.65,282624,-7.765599419673284,0.027700112710590474,0.03499457,0.4263509114583333,3.554650137821833,0.2,180,0.00025,1.0128055810928345,0.9937887787818909
1269,-815.97001932,47,227,1617.65,288768,-7.678885628779729,0.054885123836963125,0.019083893,0.496826171875,8.891665088633696,0.2,184,0.00025,2.8918895721435547,0.9786329865455627
1299,-1022.0550235400001,48,226,1617.65,294912,-7.747579917311668,0.011690080372015169,0.018892197,0.2887776692708333,3.65575364852945,0.2,188,0.00025,2.1110432147979736,0.9935593008995056
1331,-1168.46002654,49,226,1617.65,301056,-7.683709939320882,0.011250681952030087,0.027488878,0.2966715494791667,4.080623539785544,0.2,192,0.00025,2.031858205795288,0.9937379360198975
1362,-1360.0850305899999,50,225,1617.65,307200,-7.733447228868802,0.021212836659591023,0.024949541,0.4042154947916667,3.0929559332629046,0.2,196,0.00025,2.1094350814819336,0.9947583079338074
1392,-1439.9750323800001,51,225,1617.65,313344,-7.85431585709254,0.012528934685785012,0.02261,0.2930908203125,3.363451510667801,0.2,200,0.00025,2.0054140090942383,0.9953444004058838
1416,-1474.4850331399998,52,225,1622.0,319488,-7.763276780645053,0.016462326428154483,0.02366948,0.3523356119791667,3.309713219602903,0.2,204,0.00025,1.5723525285720825,0.9940834045410156
1442,-1461.98703294,53,225,1611.92,325632,-7.712001298864682,0.014295070543691205,0.02746776,0.3408203125,3.2872408044834933,0.2,208,0.00025,1.9226493835449219,0.995614767074585
1468,-1435.1720325199994,54,225,1589.12,331776,-7.133311202128728,0.11661545406968798,0.64374596,0.6820068359375,11.61045240610838,0.2,212,0.00025,1.2333310842514038,0.9684463739395142
1490,-1382.0110317199997,55,226,1538.91,337920,-7.2877651651700335,0.020217173577596743,0.023621656,0.399169921875,21.425757239262264,0.2,216,0.00025,8.744745254516602,0.9381461143493652
1515,-1395.3280321999998,56,227,1537.08,344064,-7.0276550104220705,0.01857320203149963,0.05106777,0.450439453125,30.05337717135747,0.2,220,0.00025,18.56700897216797,0.9105312824249268
1541,-1396.2200323899995,57,227,1533.15,350208,-7.036887993415196,0.04287887204069799,0.026750894,0.5191243489583334,11.097622176011404,0.2,224,0.00025,4.682549476623535,0.9725376963615417
1565,-1401.2720325899998,58,227,1528.47,356352,-7.135370070735614,0.00849315470259171,0.026923694,0.3134765625,7.120268732309341,0.2,228,0.00025,3.303743362426758,0.9852971434593201
1598,-1301.13403076,59,226,1444.69,362496,-7.143267239133517,0.02616424968679591,0.087676294,0.4676513671875,8.356867204109827,0.2,232,0.00025,4.1530256271362305,0.979677140712738
1640,-1202.29202893,60,224,1363.57,368640,-6.825369313359261,0.020661692212646205,0.13412389,0.4206949869791667,73.11750253041585,0.2,236,0.00025,40.340328216552734,0.8519012928009033
1676,-955.0910240200001,61,223,1171.81,374784,-6.827264626820882,0.020492422961979173,0.033126842,0.4149983723958333,74.43077842394511,0.2,240,0.00025,24.614940643310547,0.7950758934020996
1702,-682.8190186699998,62,223,956.49,380928,-6.652453929185867,0.011191053349951593,0.022569267,0.3366292317708333,97.87881759802501,0.2,244,0.00025,39.349246978759766,0.7610365152359009
1729,-606.31601715,63,223,886.46,387072,-6.685313552618027,0.010283169385123378,0.015794093,0.3249918619791667,79.27405142784119,0.2,248,0.00025,42.28633499145508,0.8313180208206177
1753,-624.05601755,64,224,906.56,393216,-6.726285015543302,0.004604134851736792,0.017925706,0.22220865885416666,68.53627105553944,0.2,252,0.00025,30.659238815307617,0.8435627818107605
1775,-677.0580187,65,224,943.78,399360,-6.892242640256882,0.007895001848131264,0.01772874,0.2515869140625,51.77735183636347,0.2,256,0.00025,18.97316551208496,0.8687433004379272
1801,-602.0800172699999,66,225,866.1,405504,-6.798385540644328,0.009167439949427111,0.022458563,0.29052734375,52.13242435455322,0.2,260,0.00025,25.75452423095703,0.858015775680542
1826,-471.06401471,67,225,745.24,411648,-6.669204562902451,0.005438418372553618,0.017790666,0.2576497395833333,53.665243128935494,0.2,264,0.00025,17.088768005371094,0.8808647990226746
1854,-357.31701246000006,68,225,640.87,417792,-6.655770843227704,0.008124002770879693,0.01700333,0.29638671875,53.433257142702736,0.2,268,0.00025,26.0618896484375,0.8678203225135803
1891,-284.62401106000004,69,224,570.39,423936,-6.610606074333191,0.003940218530866939,0.019246403,0.2745361328125,54.658023138840996,0.2,272,0.00025,23.818479537963867,0.851172685623169
1939,-314.94101174,70,221,601.36,430080,-6.6225125541289644,0.008762278470385354,0.0413112,0.3085123697916667,39.67329182227453,0.2,276,0.00025,19.192174911499023,0.8871972560882568
1975,-281.08401109000005,71,220,569.89,436224,-6.645528410871823,0.008587104181060567,0.021890203,0.2996419270833333,38.290288269519806,0.2,280,0.00025,13.301738739013672,0.9042595028877258
2003,-204.78900953000004,72,220,505.94,442368,-6.562014887730281,0.011011871150306737,0.022140995,0.29833984375,32.207445323467255,0.2,284,0.00025,15.705193519592285,0.9079568982124329
2028,-236.26201017000002,73,221,529.32,448512,-6.574816991885503,0.006462373998753416,0.028947419,0.2811279296875,35.35299267371496,0.2,288,0.00025,15.346277236938477,0.9227607250213623
2049,-195.70300926999997,74,221,493.78,454656,-6.46816149353981,0.0070754615201925235,0.026728086,0.3406982421875,39.82546800374985,0.2,292,0.00025,13.593453407287598,0.9147123098373413
2075,-104.84000737000002,75,222,428.35,460800,-6.4381978114446,0.0054007475458395975,0.025831996,0.2773844401041667,28.781694928805035,0.2,296,0.00025,14.358512878417969,0.919750452041626
2099,-75.77100679,76,222,409.46,466944,-6.405396208167076,0.013064929548515162,0.035319347,0.3865559895833333,12.841102346777916,0.2,300,0.00025,3.8500537872314453,0.9486737251281738
2123,-94.95900721999999,77,222,412.19,473088,-6.463128611445427,0.016738123274990357,0.05769044,0.4469807942708333,9.703394259015719,0.2,304,0.00025,4.475358963012695,0.9603829383850098
2160,-121.19600773,78,221,427.26,479232,-6.285266747077306,0.028006353648379445,0.05913669,0.5005696614583334,10.276272758841515,0.2,308,0.00025,3.3429207801818848,0.9584692716598511
2208,-136.16200802000003,79,219,449.27,485376,-6.5909262001514435,0.00995435817700733,0.02250117,0.3350016276041667,11.834912265340487,0.2,312,0.00025,4.338627338409424,0.9320764541625977
2249,-100.78700724999999,80,218,414.72,491520,-6.404182732105255,0.004873836160792659,0.020850832,0.3000895182291667,18.367601643006008,0.2,316,0.00025,7.60617208480835,0.9173195362091064
2278,-63.288006509999995,81,218,384.08,497664,-6.37698669731617,0.007220850558951497,0.019361364,0.3102213541666667,5.820649358133475,0.2,320,0.00025,2.397672414779663,0.9730260372161865
2303,-40.84400607,82,218,373.24,503808,-6.321353370944659,0.017538459243951365,0.027574128,0.3898518880208333,2.3416629980007806,0.2,324,0.00025,0.9295254945755005,0.9841822981834412
