time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
18,1,6144,1622.0,-395.97516666666667,330,,,,,,,,,,
53,2,12288,1622.0,-375.73350006666647,231,19.241803362965584,0.00025,0.3708902994791667,0.2,4,-0.002797245979309082,2.1142220497131348,-8.28823709487915,0.012226424243029518,0.032024194
89,3,18432,1622.0,-373.3858810238095,207,31.739836533864338,0.00025,0.4339192708333333,0.2,8,0.18677854537963867,3.967583656311035,-8.226914222041765,0.028318790842604358,0.022903142
121,4,24576,1622.0,-369.06683339999995,202,24.160316576560337,0.00025,0.4664306640625,0.2,12,0.4000347852706909,7.264700889587402,-8.206566343704859,0.01901448174127533,0.032834288
154,5,30720,1622.0,-359.2668333888889,199,34.390927175680794,0.00025,0.4168701171875,0.2,16,0.5643168091773987,12.367337226867676,-8.208736076951027,0.02214928562170826,0.077305906
186,6,36864,1622.0,-354.3112778111111,197,21.461185028155644,0.00025,0.5347493489583334,0.2,20,0.7836822271347046,7.076957702636719,-8.168613334496817,0.01954518619944186,0.0913303
216,7,43008,1622.0,-344.63350002000004,198,28.68639714519183,0.00025,0.4217936197916667,0.2,24,0.7628976106643677,8.87508487701416,-8.147097915410995,0.01386558314455518,0.058294043
250,8,49152,1622.0,-331.13850001,196,19.401748597621918,0.00025,0.20576985677083334,0.2,28,0.9034201502799988,9.948898315429688,-8.057523066798845,-0.000846052062115632,0.01726568
283,9,55296,1622.0,-326.37350000000004,195,14.171979228655497,0.00025,0.2991536458333333,0.2,32,0.9190524816513062,2.406759262084961,-8.096691007415453,0.00614954179036431,0.034832686
315,10,61440,1622.0,-316.83849999,194,8.75977210700512,0.00025,0.3206380208333333,0.2,36,0.9418110847473145,2.7488577365875244,-7.927348509430885,0.008691658166450603,0.013508041
348,11,67584,1622.0,-310.26850000999997,194,10.108319203058878,0.00025,0.2699381510416667,0.2,40,0.9685057997703552,4.007837772369385,-7.993355909983317,0.006563673802399232,0.011466187
385,12,73728,1622.0,-300.68350004,191,6.140486590564251,0.00025,0.4624430338541667,0.2,44,0.9759995937347412,3.3265926837921143,-7.91555975874265,0.029426261496458512,0.046418134
417,13,79872,1622.0,-297.74850005,191,4.375877733031909,0.00025,0.3450927734375,0.2,48,0.9792406558990479,2.042607307434082,-7.965763494372368,0.01229957662629507,0.021161139
450,14,86016,1622.0,-293.37850009,190,6.346392984191577,0.00025,0.5172932942708334,0.2,52,0.9738127589225769,2.0879287719726562,-7.88986037671566,0.0401832988136448,0.11046908
482,15,92160,1622.0,-281.57850011000005,190,11.005310823520025,0.00025,0.1806640625,0.2,56,0.9793423414230347,4.700499534606934,-7.723300154010455,0.005026463050550471,0.010684411
515,16,98304,1622.0,-269.49350011,190,10.20866185426712,0.00025,0.16231282552083334,0.2,60,0.9779093265533447,3.7196407318115234,-7.779532015323639,0.004269835058948956,0.015582998
547,17,104448,1622.0,-268.4085001,190,8.145563873151938,0.00025,0.22196451822916666,0.2,64,0.9893331527709961,3.3351638317108154,-7.771511380871137,0.005735003792021113,0.014707961
580,18,110592,1622.0,-259.20850005,190,8.928215324878693,0.00025,0.17647298177083334,0.2,68,0.9813694953918457,3.494083881378174,-7.807088563839595,0.004288975605353092,0.00911314
612,19,116736,1622.0,-256.64850006,190,6.929949787755807,0.00025,0.20182291666666666,0.2,72,0.990971028804779,2.9990756511688232,-7.819558933377266,0.004769123033232366,0.012299664
644,20,122880,1622.0,-247.12850004,190,6.502265147864819,0.00025,0.20890299479166666,0.2,76,0.9899189472198486,2.064298391342163,-7.859732677539189,0.00815375525659571,0.018492622
677,21,129024,1622.0,-255.98350003,190,5.605497352778912,0.00025,0.19376627604166666,0.2,80,0.9936720728874207,2.0797159671783447,-7.895777781804402,0.004477076200904169,0.016403645
709,22,135168,1622.0,-277.7485,190,5.7812908838192625,0.00025,0.2783203125,0.2,84,0.9923049807548523,2.1041436195373535,-7.950150604049365,0.005259391061069134,0.01636118
742,23,141312,1622.0,-285.23849999000004,190,5.833911990125974,0.00025,0.3314615885416667,0.2,88,0.9920253157615662,1.8761855363845825,-7.9238294661045074,0.01776980739790209,0.017418293
775,24,147456,1622.0,-278.05849999000003,190,5.723966248333454,0.00025,0.23258463541666666,0.2,92,0.9924551248550415,2.3871941566467285,-7.985654756426811,0.004794343626902749,0.01489761
807,25,153600,1622.0,-281.75350002,190,4.541227689633767,0.00025,0.2650553385416667,0.2,96,0.9953922629356384,1.4521688222885132,-7.931708171963692,0.0105325691595984,0.016697844
839,26,159744,1622.0,-290.49850001,190,4.765112463384867,0.00025,0.23173014322916666,0.2,100,0.9948199391365051,1.8071255683898926,-7.981268967191379,0.008307474540439822,0.011397769
868,27,165888,1622.0,-283.56850001000004,190,4.659819643944502,0.00025,0.3375651041666667,0.2,104,0.9950070381164551,1.6872599124908447,-7.936828876535098,0.013637334601905119,0.0222605
900,28,172032,1622.0,-287.96350001,190,4.321513508756955,0.00025,0.2655029296875,0.2,108,0.9967637658119202,1.4518189430236816,-8.035613164305687,0.00915855003404431,0.017442418
933,29,178176,1622.0,-274.75850002,190,4.689469919850429,0.00025,0.317138671875,0.2,112,0.9939528107643127,1.9163509607315063,-7.939471403757731,0.01081737716352412,0.038926538
965,30,184320,1622.0,-306.73850002,190,5.005491270373265,0.00025,0.3081868489583333,0.2,116,0.9935088157653809,1.973098874092102,-7.956924746433894,0.01446955238255517,0.022842268
1000,31,190464,1622.0,-306.0085,190,4.95493762070934,0.00025,0.3200276692708333,0.2,120,0.9913343191146851,1.754582166671753,-7.899822314580281,0.010999431581391642,0.02673841
1032,32,196608,1622.0,-305.6985,190,3.939591637502114,0.00025,0.28515625,0.2,124,0.9966015219688416,1.3296914100646973,-7.900425503651301,0.009599675535961675,0.016335627
1065,33,202752,1622.0,-326.9685,190,3.7384165873130164,0.00025,0.3570149739583333,0.2,128,0.9963053464889526,1.3300055265426636,-7.8230345249176025,0.014823550690683382,0.025859779
1098,34,208896,1622.0,-361.0285000100001,190,3.974866977582375,0.00025,0.3204752604166667,0.2,132,0.9968869090080261,1.4625513553619385,-7.848054016629855,0.0137138958768143,0.03464111
1130,35,215040,1622.0,-424.9035000300001,190,2.465905616680781,0.00025,0.5498046875,0.2,136,0.9930912256240845,0.6229567527770996,-7.712469607591629,0.0738047624132984,0.04022419
1163,36,221184,1622.0,-454.25850004000006,190,2.4352825544774532,0.00025,0.5614420572916666,0.2,140,0.9961919188499451,1.6123156547546387,-7.6977891226609545,0.06412283769168425,0.07012462
1196,37,227328,1622.0,-518.3235000400001,190,3.2926950802405677,0.00025,0.5051676432291666,0.2,144,0.9933006763458252,1.7100355625152588,-7.560883015394211,0.04935460413495699,0.027793104
1227,38,233472,1622.0,-564.15350005,190,3.688959433386723,0.00025,0.3121744791666667,0.2,148,0.9956167340278625,1.0026960372924805,-7.6541392256816225,0.012378744426920699,0.022423008
1259,39,239616,1622.0,-557.75350006,190,2.1480968122680983,0.00025,0.5486653645833334,0.2,152,0.9953109622001648,1.7000359296798706,-7.616550202171008,0.052607330343259186,0.1595397
1292,40,245760,1622.0,-544.78350005,190,1.295456936582923,0.00025,0.60986328125,0.2,156,0.9980723261833191,0.3621715307235718,-7.708691264192264,0.07847503377706744,0.22292142
1323,41,251904,1622.0,-519.28850002,190,2.3796968621512256,0.00025,0.5812174479166666,0.2,160,0.9977508783340454,3.077000141143799,-7.81929475069046,0.06840783447842114,0.17507923
1356,42,258048,1622.0,-483.9735000200001,190,1.1370748256643612,0.00025,0.3510335286458333,0.2,164,0.997509777545929,0.45730966329574585,-7.880017335216205,0.013437060275464319,0.04074805
1386,43,264192,1622.0,-425.48850002,190,1.0454955970247586,0.00025,0.3274332682291667,0.2,168,0.9979621767997742,0.49589434266090393,-7.8238203177849455,0.012103889785066713,0.024468252
1418,44,270336,1622.0,-385.03850001000006,190,1.1395654572794836,0.00025,0.37744140625,0.2,172,0.9981951117515564,0.48932674527168274,-7.811679869890213,0.015990683881682344,0.026653161
1450,45,276480,1622.0,-368.38850004,190,1.4126406107097864,0.00025,0.4852294921875,0.2,176,0.9980213642120361,0.5839563012123108,-7.838503301143646,0.03590362688313083,0.07078953
1482,46,282624,1622.0,-395.8535000400001,190,3.984801753113667,0.00025,0.210205078125,0.2,180,0.9974377155303955,2.635039806365967,-7.886014540990193,0.0045762639298724634,0.01808544
1514,47,288768,1622.0,-391.4435000599999,190,3.9276244106392064,0.00025,0.19645182291666666,0.2,184,0.9975768327713013,2.592301845550537,-7.939624756574631,0.00720173221877,0.012930214
1546,48,294912,1622.0,-385.98850006,190,3.3135465693970523,0.00025,0.2470703125,0.2,188,0.9981379508972168,1.8231613636016846,-7.945639247695605,0.002582646775408648,0.016019078
1578,49,301056,1622.0,-390.66350008,190,3.173672815784812,0.00025,0.18400065104166666,0.2,192,0.9986599087715149,1.8724722862243652,-7.9402168194452925,0.0038174611205856004,0.012685054
1610,50,307200,1614.71,-451.41171907000006,190,3.486032178004583,0.00025,0.2249755859375,0.2,196,0.9973588585853577,2.0479040145874023,-7.83637781937917,0.0038444513484137133,0.015149212
1643,51,313344,1614.71,-494.57671906,190,10.286345193783442,0.00025,0.4104410807291667,0.2,200,0.981541097164154,13.426206588745117,-7.855294277270635,0.018934252138327185,0.060587864
1675,52,319488,1614.71,-537.12671906,190,2.9544609102110067,0.00025,0.5343831380208334,0.2,204,0.9943030476570129,1.2469168901443481,-7.591995636622111,0.04606399608504338,0.106133945
1707,53,325632,1614.71,-605.4367190300001,190,1.6923964495460193,0.00025,0.4541015625,0.2,208,0.9965617656707764,0.6334914565086365,-7.684736554821332,0.03160306094408346,0.028783208
1739,54,331776,1602.84,-773.37221301,190,2.087448532382647,0.00025,0.5587972005208334,0.2,212,0.9948083162307739,1.0098567008972168,-7.31639722486337,0.08693967357976362,0.6123331
1772,55,337920,1595.98,-927.92181004,190,15.273806703587374,0.00025,0.4527587890625,0.2,216,0.9615398645401001,4.144300937652588,-7.029222483436267,0.02745327335530116,0.038090825
1801,56,344064,1567.22,-1030.3740590500001,190,8.61204612503449,0.00025,0.3744303385416667,0.2,220,0.9741941690444946,13.985843658447266,-7.11884942650795,0.02477509872308777,0.039849374
1833,57,350208,1564.99,-1121.68506009,190,28.707229177157085,0.00025,0.4550374348958333,0.2,224,0.9355402588844299,18.791471481323242,-7.086875528097153,0.02447644176815326,0.058931336
1865,58,356352,1564.99,-1233.01506006,190,11.178435953954855,0.00025,0.3736572265625,0.2,228,0.9706364870071411,2.178010940551758,-7.171439146002133,0.024998809130920563,0.039330993
1897,59,362496,1564.99,-1314.80506008,191,5.01722119251887,0.00025,0.3758544921875,0.2,232,0.9852325916290283,2.3154592514038086,-7.256909633676211,0.025375237407085176,0.09124637
1929,60,368640,1576.86,-1378.2795661000005,191,5.538560996452968,0.00025,0.4222819010416667,0.2,236,0.9820497632026672,1.9821691513061523,-7.147721111774445,0.03364803098277965,0.022030076
1961,61,374784,1576.86,-1369.8895661000006,191,4.1881927872697515,0.00025,0.4506022135416667,0.2,240,0.9887212514877319,2.530583381652832,-7.128224159280459,0.043751897806942,0.059218496
