time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates
11,-397.55850016666665,523,6144,1,1622.0,,,,,,,,,,
35,-400.73350006666647,344,12288,2,1622.0,-8.29319499929746,0.00025,0.021111803,-0.0033156871795654297,0.2,19.203514392177265,0.0092509534782342,2.0706746578216553,0.3393147786458333,4
57,-410.3501667142857,322,18432,3,1622.0,-8.005212287108103,0.00025,0.019539366,0.12932443618774414,0.2,27.272626678148907,0.08035925818694523,3.63413405418396,0.5323893229166666,8
81,-427.7085000333333,302,24576,4,1622.0,-8.1983622610569,0.00025,0.05410524,0.33218055963516235,0.2,24.40124298632145,0.01379349030321464,8.02462100982666,0.3881429036458333,12
106,-424.4404444722222,289,30720,5,1622.0,-8.003488371769587,0.00025,0.08644027,0.4527733325958252,0.2,38.57956316073736,0.02642738838524868,12.419851303100586,0.5036214192708334,16
127,-413.76127783333334,288,36864,6,1622.0,-7.956784804662068,0.00025,0.0395835,0.8125536441802979,0.2,22.171289697289467,0.013126906119092988,7.206174850463867,0.407958984375,20
152,-403.61850006000003,282,43008,7,1622.0,-7.932905902465184,0.00025,0.05330966,0.8919408321380615,0.2,29.879248768091202,0.010910066244832706,7.139107704162598,0.3719482421875,24
176,-390.21850003,278,49152,8,1622.0,-7.802971695860227,0.00025,0.11265007,0.9140945076942444,0.2,15.919884090622267,0.031182858474494424,5.016063213348389,0.5408528645833334,28
202,-375.6685000399999,273,55296,9,1622.0,-7.945263271530469,0.00025,0.014484257,0.9125688076019287,0.2,16.73372096816699,0.006120884194388054,5.642282009124756,0.2911783854166667,32
226,-344.37350003,271,61440,10,1622.0,-7.903560688098271,0.00025,0.03336579,0.898867130279541,0.2,17.666991243759792,0.009761470112910805,2.913240909576416,0.2569173177083333,36
252,-323.46350001999997,267,67584,11,1622.0,-7.882895832260449,0.00025,0.012480206,0.945976197719574,0.2,12.627462203303972,0.003956631095206831,6.671868324279785,0.21500651041666666,40
279,-298.13850002,263,73728,12,1622.0,-7.884913007418315,0.00025,0.013955638,0.9604495763778687,0.2,6.174039560059707,0.0071731269466302665,1.349456787109375,0.253173828125,44
305,-287.32849999999996,261,79872,13,1622.0,-7.843654230237007,0.00025,0.013689245,0.9769349694252014,0.2,8.41991107414166,0.014907964924835445,5.7043538093566895,0.3074137369791667,48
330,-274.97849997000003,259,86016,14,1622.0,-7.827912782629331,0.00025,0.010171036,0.9773465394973755,0.2,8.628065293033918,0.002479172047363439,5.321400165557861,0.15763346354166666,52
361,-268.25849997,255,92160,15,1622.0,-7.877947375178337,0.00025,0.015104309,0.9870879054069519,0.2,8.15913544346889,0.004806244554250346,4.708993434906006,0.19429524739583334,56
389,-264.13849998000006,252,98304,16,1622.0,-7.881757800777753,0.00025,0.009890477,0.9805780053138733,0.2,8.81421609222889,0.003982214812519184,5.26492977142334,0.1627197265625,60
418,-262.75849997999995,249,104448,17,1622.0,-7.9252371688683825,0.00025,0.017882796,0.9904155135154724,0.2,7.338934923211734,0.003278718240229258,4.466193675994873,0.22001139322916666,64
446,-261.26349998000006,247,110592,18,1622.0,-7.930538922548294,0.00025,0.028336138,0.9867911338806152,0.2,7.1978161831696825,0.010161977479583584,4.753129005432129,0.2869873046875,68
474,-263.27349998000005,246,116736,19,1622.0,-7.92472709218661,0.00025,0.01455194,0.9932854175567627,0.2,5.980991775790851,0.008611584589137541,4.358142375946045,0.2974446614583333,72
502,-270.25349998,244,122880,20,1622.0,-8.011367455124855,0.00025,0.019253993,0.9903178811073303,0.2,6.13952149450779,0.011019788823129298,3.780428647994995,0.2586263020833333,76
530,-293.8235,243,129024,21,1622.0,-7.886126279830933,0.00025,0.068199955,0.9899011254310608,0.2,3.840107119331757,0.05769055196045277,1.1604276895523071,0.5474039713541666,80
556,-298.87850001000004,242,135168,22,1622.0,-7.969886019825935,0.00025,0.028757237,0.9912281632423401,0.2,6.102832220494747,0.02415261889109388,4.39326810836792,0.3817952473958333,84
580,-333.01350002000004,243,141312,23,1622.0,-7.855188483993213,0.00025,0.020882001,0.9924068450927734,0.2,6.033576004207134,0.011537407927486735,3.747889757156372,0.296875,88
606,-336.86350002,242,147456,24,1622.0,-7.927034060160319,0.00025,0.01282012,0.9897798299789429,0.2,6.847340643405914,0.005874331451195758,4.8768696784973145,0.20650227864583334,92
633,-346.99349999,242,153600,25,1622.0,-7.941776528954506,0.00025,0.014880814,0.9917799234390259,0.2,5.324717693030834,0.010353816260855334,3.5468811988830566,0.2718912760416667,96
660,-367.91850000000005,241,159744,26,1622.0,-8.009122624993324,0.00025,0.027038924,0.9936222434043884,0.2,4.78759207452337,0.010428735088983862,1.4012315273284912,0.28955078125,100
684,-376.51350002000004,242,165888,27,1622.0,-7.908472781380017,0.00025,0.049733933,0.9911326766014099,0.2,4.087402002265056,0.021390368856373243,1.2457352876663208,0.3763020833333333,104
712,-431.7735000200001,241,172032,28,1622.0,-7.851228326559067,0.00025,0.044904638,0.9935098886489868,0.2,3.1830412509540715,0.04326031021385764,2.0073070526123047,0.5124918619791666,108
740,-526.2585,240,178176,29,1622.0,-7.716854343811671,0.00025,0.025366684,0.9909764528274536,0.2,4.873908136039972,0.050552955396900266,2.1073527336120605,0.5423990885416666,112
769,-562.7935000100001,239,184320,30,1622.0,-7.7567669202884035,0.00025,0.015963532,0.990943193435669,0.2,4.363957109550635,0.014301560091553256,1.794920802116394,0.3195393880208333,116
799,-682.8885000300002,238,190464,31,1622.0,-7.431551317373912,0.00025,0.9404845,0.992811381816864,0.2,3.0078741759061813,0.11773822298467469,0.7531474232673645,0.626708984375,120
828,-787.68350005,237,196608,32,1622.0,-7.367260456085205,0.00025,0.033418115,0.9893268942832947,0.2,5.354904609421889,0.025411113019799814,2.115227699279785,0.3646240234375,124
855,-941.34849998,237,202752,33,1622.0,-7.097465227047603,0.00025,0.021559194,0.9875918626785278,0.2,4.118666862448056,0.014164164633257315,1.700127363204956,0.3334554036458333,128
884,-1041.93349999,236,208896,34,1622.0,-7.158504878481229,0.00025,0.0592041,0.9925373196601868,0.2,5.638488354782264,0.043096897100137234,2.7185184955596924,0.4881591796875,132
913,-1148.96849999,235,215040,35,1622.0,-7.061765983700752,0.00025,0.02222476,0.9912143349647522,0.2,6.325573042035103,0.02644672497748009,2.4371323585510254,0.42236328125,136
942,-1181.86349995,234,221184,36,1622.0,-7.185304224491119,0.00025,0.017901182,0.9949343800544739,0.2,2.6790790843466916,0.008511163667814495,1.2030185461044312,0.2860107421875,140
972,-1302.9834999599998,233,227328,37,1622.0,-7.096878131230672,0.00025,0.016325492,0.992710292339325,0.2,4.179091778894265,0.01277554662374314,2.1443097591400146,0.2919921875,144
1001,-1316.6784999699998,233,233472,38,1622.0,-7.1750881026188535,0.00025,0.018020878,0.9951005578041077,0.2,3.9971546940505505,0.013948645355412737,1.1503264904022217,0.3179931640625,148
1027,-1356.6684999600004,233,239616,39,1622.0,-6.990527490774791,0.00025,0.1351288,0.9948035478591919,0.2,3.066032540053129,0.06352156775149827,1.3372902870178223,0.5689290364583334,152
1057,-1352.8885000000002,232,245760,40,1622.0,-6.953777641057968,0.00025,0.09792888,0.997075080871582,0.2,2.599621668457985,0.03729866286933733,1.8212815523147583,0.4790852864583333,156
1087,-1301.39350003,231,251904,41,1622.0,-7.090239584445953,0.00025,0.010971586,0.9963290095329285,0.2,4.826675679534674,0.006509341367442782,2.548473596572876,0.18216959635416666,160
