rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_fraction
2345.0,-628.1226001666665,1,6144,12,491,,,,,,,,,,
2345.0,-636.8726000555554,2,12288,36,336,17.439679468671482,4,1.849979043006897,0.2,0.00025,0.027597098,0.015646536742375854,0.00872814655303955,-8.281966199477514,0.3896077473958333
2345.0,-639.6726000333334,3,18432,60,304,28.04360721508662,8,8.836116790771484,0.2,0.00025,0.015068962,0.009074834645919813,0.23597818613052368,-8.286389539639154,0.3055013020833333
2345.0,-651.0253778333333,4,24576,85,286,25.540450905760128,12,9.49560546875,0.2,0.00025,0.0972698,0.015391813314636238,0.34740930795669556,-8.25528609752655,0.3888346354166667
2345.0,-670.5705166666667,5,30720,109,280,26.17327733586232,16,1.763291597366333,0.2,0.00025,0.24509974,0.025466330363997258,0.5009193420410156,-8.18619496623675,0.5098876953125
2345.0,-684.9114889499998,6,36864,133,276,28.73973320921262,20,14.705347061157227,0.2,0.00025,0.08550936,0.018958383797629114,0.3855631947517395,-8.026632929841677,0.479248046875
2345.0,-683.0438963333332,7,43008,157,273,28.137264599402744,24,7.934722423553467,0.2,0.00025,0.07693518,0.03803512257824574,0.7629728317260742,-7.83855506281058,0.5316162109375
2345.0,-681.2807196794869,8,49152,181,270,21.25255259871483,28,10.493550300598145,0.2,0.00025,0.052213956,0.01099039516581494,0.9132373929023743,-7.965584869186084,0.4064127604166667
2345.0,-672.8651926333332,9,55296,206,268,21.504383340477943,32,13.461319923400879,0.2,0.00025,0.013129716,0.007170339909256048,0.9340890645980835,-7.909418736894925,0.2818196614583333
2345.0,-666.9192667199999,10,61440,231,265,27.54658615589142,36,7.89511251449585,0.2,0.00025,0.0656247,0.00819510813744273,0.9037935733795166,-7.932976792256038,0.2886962890625
2345.0,-662.9692667099999,11,67584,256,263,24.81483729680379,40,7.900405406951904,0.2,0.00025,0.047710612,0.03127353640350824,0.9066230058670044,-7.971636767188708,0.54345703125
2345.0,-655.5542666999999,12,73728,281,262,23.785070190827053,44,10.18890380859375,0.2,0.00025,0.07699611,0.010773795584100299,0.9057897329330444,-8.025350585579872,0.3682047526041667
2345.0,-632.7542666999999,13,79872,304,262,30.482425053914387,48,8.069275856018066,0.2,0.00025,0.033329662,0.019311817721851792,0.7066562175750732,-7.938757176200549,0.3720703125
2345.0,-795.7759333300003,14,86016,329,260,34.05116074283918,52,6.400631904602051,0.2,0.00025,0.030252522,0.016158749368817855,0.7400951385498047,-7.821471889813741,0.3600667317708333
2345.0,-750.8842666500002,15,92160,354,260,18.18916709224383,56,4.715175151824951,0.2,0.00025,0.019748814,0.006706337788879561,0.8662474155426025,-7.784934967756271,0.2909749348958333
2345.0,-732.3225999600003,16,98304,377,260,12.048323859771093,60,3.3959343433380127,0.2,0.00025,0.101897895,0.02631631714272468,0.925152063369751,-7.8112053871154785,0.4265950520833333
2345.0,-918.8209333,17,104448,401,260,9.854586179057756,64,4.017755031585693,0.2,0.00025,0.015255536,0.011313605413306504,0.9400535821914673,-7.670696338017781,0.2868245442708333
2345.0,-1141.2575999800001,18,110592,425,260,9.89935520539681,68,3.1331260204315186,0.2,0.00025,0.027125359,0.03689253681901997,0.9444069862365723,-7.667571937044461,0.4476318359375
2345.0,-3002.30093335,19,116736,448,260,8.671105633179346,72,3.4152235984802246,0.2,0.00025,0.010323416,0.006516984198242426,0.9638293981552124,-7.5569401035706205,0.2352294921875
2345.0,-3090.9025999900005,20,122880,472,260,7.5608961681524915,76,2.6899349689483643,0.2,0.00025,0.010229849,0.005116247833939269,0.9645900130271912,-7.520986701051394,0.22721354166666666
