time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,train/loss,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/n_updates,train/approx_kl
1,1024,3,295,,,,,,,,,,,,
2,2048,13,149,0.005769848823547363,0.00025,-0.025358718834468164,-8.29465545217196,20.306060989697773,-37.024997125,8.749972343444824,975.0,0.439453125,0.2,3,0.02032774
3,3072,23,128,-0.004827976226806641,0.00025,0.02142310609148505,-8.264421621958414,50.19126226504644,-37.024997125,31.787071228027344,975.0,0.3636067708333333,0.2,6,0.055151567
4,4096,31,128,0.6038396954536438,0.00025,0.040030633380714185,-8.20038045446078,15.846335927645365,-44.3999976875,6.210000991821289,975.0,0.5934244791666666,0.2,9,0.13851795
5,5120,39,130,0.7615094929933548,0.00025,0.028498315490044963,-8.170688311258951,35.2910241385301,-44.3999976875,18.001203536987305,975.0,0.5703125,0.2,12,0.05432576
6,6144,46,131,0.8891379982233047,0.00025,0.030879811286771048,-8.150461971759796,37.196043153603874,-273.39999554166667,36.92307662963867,975.0,0.4866536458333333,0.2,15,0.07180621
7,7168,54,130,0.8950836881995201,0.00025,0.05776818794159529,-8.178515573342642,47.20433739821116,-273.39999554166667,30.486961364746094,975.0,0.5263671875,0.2,18,0.059765734
8,8192,63,128,0.9406490363180637,0.00025,0.05469305215713879,-8.142701347668966,43.47311530510584,-336.8249945625,24.611753463745117,975.0,0.5807291666666666,0.2,21,0.0609833
9,9216,72,127,0.9183486923575401,0.00025,0.04912645024887752,-8.130491316318512,86.41593758265178,-336.8249945625,36.87099838256836,975.0,0.587890625,0.2,24,0.078887105
10,10240,80,126,0.9523600824177265,0.00025,0.06663487096860383,-8.028319214781126,25.00473357240359,-322.50499479999996,32.886016845703125,975.0,0.6149088541666666,0.2,27,0.17632166
11,11264,89,125,0.8519316762685776,0.00025,0.04331706311495509,-7.995299791296323,86.67784430583318,-314.62682414634145,72.6324234008789,965.2439024390244,0.5579427083333334,0.2,30,0.087989405
12,12288,97,125,0.8543739318847656,0.00025,0.07755611645795095,-8.034044841925303,32.96286480128765,-329.9020357755102,51.25674057006836,959.5510204081633,0.6552734375,0.2,33,0.208141
13,13312,106,125,0.8691106885671616,0.00025,0.03090112668966564,-7.875261286894481,99.42439782619476,-296.48181343636367,96.38075256347656,912.9636363636364,0.5950520833333334,0.2,36,0.1262314
14,14336,114,124,0.8873432874679565,0.00025,0.0867604783391774,-7.8952523817618685,39.71310251951218,-291.2932155762712,47.24976348876953,896.2542372881356,0.6845703125,0.2,39,0.23413527
15,15360,123,124,0.8892963454127312,0.00025,0.09047854910992707,-7.982205962141355,23.667276417215664,-277.796870453125,19.030784606933594,901.90625,0.6969401041666666,0.2,42,0.22025909
16,16384,131,124,0.8347454369068146,0.00025,0.05931119160959497,-7.856378843386968,22.16583960254987,-261.61470145588237,16.93869400024414,906.1176470588235,0.6761067708333334,0.2,45,0.28385577
17,17408,139,124,0.913176566362381,0.00025,0.03513797352206893,-7.903182099262874,41.71929780642191,-256.29866218666666,66.38785552978516,891.5466666666666,0.513671875,0.2,48,0.04465598
18,18432,151,121,0.9432239830493927,0.00025,0.046941803981705256,-8.003057032823563,43.775485545396805,-265.07272267532466,24.247398376464844,893.7142857142857,0.5634765625,0.2,51,0.09789839
19,19456,167,116,0.9481561742722988,0.00025,0.07334957566733162,-7.964063281814258,34.18058754007021,-247.81083895180723,29.494403839111328,895.8674698795181,0.6500651041666666,0.2,54,0.21860978
20,20480,183,111,0.9200573638081551,0.00025,0.09970840147191969,-7.903537621100743,28.86641498406728,-250.12587788235294,13.760804176330566,897.7294117647059,0.7425130208333334,0.2,57,0.5991862
21,21504,197,109,0.8756804391741753,0.00025,0.07403822636115365,-7.901303172111511,60.15888723731041,-251.79999532258068,12.802929878234863,893.8494623655914,0.6627604166666666,0.2,60,0.07999024
22,22528,205,109,0.9211580008268356,0.00025,0.07207854245401298,-7.978318631649017,67.56815953056018,-247.44062033333333,41.56985092163086,891.84375,0.6569010416666666,0.2,63,0.12752941
23,23552,214,109,0.9722691122442484,0.00025,0.09043514494745371,-7.8083024968703585,19.40770468612512,-237.82399546999997,8.988436698913574,894.28,0.7161458333333334,0.2,66,0.20153138
24,24576,225,109,0.6948176026344299,0.00025,0.28709570593976724,-6.246908118327458,23.610510289669037,-246.17899531999998,9.812214851379395,893.35,0.9059244791666666,0.2,69,7.0521355
25,25600,234,109,0.8073518425226212,0.00025,0.05235375021584332,-7.2469337830940885,70.32753348350525,-261.84399493999996,36.63483810424805,881.5,0.5924479166666666,0.2,72,0.09270868
26,26624,242,109,0.8531283885240555,0.00025,0.04370701141306199,-7.5514993369579315,41.95213936765989,-297.21099436,24.980743408203125,876.21,0.5520833333333334,0.2,75,0.090897426
27,27648,251,109,0.8428759425878525,0.00025,0.058670693795041494,-7.663732285300891,44.75998288889726,-284.38399423000004,13.162689208984375,864.88,0.5651041666666666,0.2,78,0.09586247
28,28672,260,110,0.8626211881637573,0.00025,0.0630000098705447,-7.623522490262985,48.665617843468986,-276.71599396,54.5400276184082,862.24,0.6162109375,0.2,81,0.13770574
29,29696,269,110,0.8668565303087234,0.00025,0.07663493352204871,-7.812717239061992,47.171462347110115,-284.2679938,143.5152130126953,862.24,0.6595052083333334,0.2,84,0.16841455
30,30720,281,109,0.8877116814255714,0.00025,0.059649531249306165,-7.730238854885101,71.91010306278865,-279.37799386999995,63.78776931762695,862.24,0.5540364583333334,0.2,87,0.07691479
31,31744,290,109,0.9052886143326759,0.00025,0.052127858313421406,-7.806867574652036,38.54627652963003,-265.01999394,27.7373046875,862.24,0.6002604166666666,0.2,90,0.17698298
32,32768,300,109,0.8852832764387131,0.00025,0.037035067953790225,-7.918969626228015,38.25921789805094,-264.18899392000003,47.36201858520508,852.15,0.5589192708333334,0.2,93,0.121186614
33,33792,310,108,0.9130202233791351,0.00025,0.08351399068487808,-7.915922279159228,22.655419568220776,-246.82499396999995,10.606962203979492,852.15,0.6380208333333334,0.2,96,0.15352485
34,34816,320,108,0.9484199993312359,0.00025,0.06935230623154591,-7.911134660243988,28.6121826171875,-249.5929941,26.040334701538086,867.55,0.6848958333333334,0.2,99,0.18546164
35,35840,330,108,0.936182290315628,0.00025,0.03728661263206353,-7.9116287877162295,24.53661326567332,-247.03399416999997,13.970015525817871,886.84,0.6653645833333334,0.2,102,0.16361353
36,36864,341,107,0.920339398086071,0.00025,0.1299236678799692,-7.713243668278058,30.818711305658024,-243.54199432999997,5.978152751922607,892.84,0.7337239583333334,0.2,105,0.95474607
37,37888,350,108,0.9285986945033073,0.00025,0.12860219733556733,-7.3813274304072065,24.918879037102062,-236.81399444000002,15.585113525390625,893.16,0.8359375,0.2,108,0.6593072
38,38912,359,108,0.8731432408094406,0.00025,0.05580461876040014,-7.625004788239797,29.691589484612148,-235.18999452,23.90959358215332,893.22,0.6181640625,0.2,111,0.09331612
39,39936,368,108,0.9495001062750816,0.00025,0.07391450727785316,-7.762826457619667,19.48546529809634,-227.58699477,11.476049423217773,900.79,0.6572265625,0.2,114,0.140125
40,40960,376,108,0.8748211562633514,0.00025,0.016343963594408706,-7.838234290480614,71.56550238529842,-220.7299948,66.89389038085938,870.12,0.4733072916666667,0.2,117,0.037326135
