time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_range,train/explained_variance,train/learning_rate,train/clip_fraction,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/n_updates,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/entropy_loss
1,1024,429,2,,,,,,,,,,,,
2,2048,282,7,0.2,-0.002112746238708496,0.00025,0.4026692708333333,975.0,-0.011291533388430253,21.22327995300293,3,-63.774997125,0.029729228,25.73746319611867,-8.29142020146052
3,3072,232,13,0.2,0.251476526260376,0.00025,0.4749348958333333,975.0,0.036050588212674484,10.226930618286133,6,-63.774997125,0.088912666,36.276514495412506,-8.240513543287912
4,4096,223,18,0.2,0.7471987009048462,0.00025,0.5638020833333334,975.0,0.04929013069098195,13.493629455566406,9,-137.07499625,0.05133964,27.380143359303474,-8.151333133379618
5,5120,220,23,0.2,0.8403412848711014,0.00025,0.548828125,942.2352941176471,0.05129466688958928,42.376502990722656,12,-135.98823152941176,0.063280396,44.96676939725876,-8.109545131524404
6,6144,218,28,0.2,0.895175576210022,0.00025,0.5559895833333334,951.7916666666666,0.05164934114630645,15.861905097961426,15,-189.45416237499998,0.07261284,50.192841658989586,-8.13032748301824
7,7168,217,32,0.2,0.915751650929451,0.00025,0.6119791666666666,952.72,0.0734559822982798,49.24959182739258,18,-189.34399563999995,0.08660871,64.51532258590062,-8.063838670651117
8,8192,216,37,0.2,0.9322291761636734,0.00025,0.5543619791666666,957.59375,0.07292059367076338,35.22605514526367,21,-263.48436990625,0.080178425,52.4760455985864,-8.113553752501806
9,9216,209,44,0.2,0.9468938522040844,0.00025,0.5667317708333334,958.1212121212121,0.0465784548529579,35.226280212402344,24,-253.85454048484848,0.07215353,72.4630092382431,-8.169695983330408
10,10240,204,50,0.2,0.9644853845238686,0.00025,0.7705078125,961.075,0.14733389485627413,47.211021423339844,27,-242.34749552500003,0.19905767,29.766462634007137,-8.004555980364481
