time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,rollout/ep_len_mean
2,343,768,1,,,,,,,,,,,,
8,184,1536,2,-1485.3333333333333,0.2,0.00025,-8.294024719132317,3,0.024386771,18.864252977901035,0.0025642321626138356,0.3515625,0.002909839153289795,13.27471923828125,1019.0
14,164,2304,3,-1485.3333333333333,0.2,0.00025,-8.289734270837572,6,0.02550142,27.65897472699483,0.002205403469916847,0.3151041666666667,0.10996252298355103,22.127822875976562,1019.0
18,162,3072,4,-31.5,0.2,0.00025,-8.239193307028877,9,0.041161958,13.040984948476156,0.01130527195184388,0.3637152777777778,-0.045346975326538086,9.031023025512695,1019.0
24,155,3840,5,-31.5,0.2,0.00025,-8.15091880162557,12,0.02491559,22.894054889678955,0.01634101542488982,0.4223090277777778,0.0432167649269104,12.749564170837402,1019.0
29,155,4608,6,736.2222222222222,0.2,0.00025,-8.175145824750265,15,0.014255293,16.319113996293808,-0.0017407280522295171,0.3072916666666667,0.21600878238677979,28.116180419921875,1019.0
34,156,5376,7,736.2222222222222,0.2,0.00025,-8.154660489824083,18,0.01887315,23.62677178117964,-0.00824291247408837,0.3563368055555556,-0.011028170585632324,9.32565689086914,1019.0
39,154,6144,8,1732.0,0.2,0.00025,-8.0679159561793,21,0.03565937,29.422233025232952,-0.012004683337484797,0.33203125,0.10543328523635864,31.668703079223633,1019.0
44,153,6912,9,1732.0,0.2,0.00025,-8.087500194708506,24,0.021578709,13.260838488737742,-0.013846456952806976,0.2855902777777778,0.009374856948852539,4.4091997146606445,1019.0
51,150,7680,10,3025.7,0.2,0.00025,-8.010849164591896,27,0.02443021,16.958294497595894,0.01887896297396057,0.3993055555555556,0.04836678504943848,10.391534805297852,1017.6
57,147,8448,11,3025.7,0.2,0.00025,-7.844988723595937,30,0.026136862,22.530357506540085,0.013546365209751658,0.3997395833333333,0.20374417304992676,15.201244354248047,1017.6
62,148,9216,12,4433.694444444444,0.2,0.00025,-7.588277267085181,33,0.08989012,24.363317489624023,0.04863056316713078,0.5807291666666666,-0.03690063953399658,17.91484832763672,1017.8333333333334
66,149,9984,13,4433.694444444444,0.2,0.00025,-7.711013668113285,36,0.05693845,27.480339937739902,0.021326588609048888,0.4939236111111111,0.31013280153274536,18.34622573852539,1017.8333333333334
71,149,10752,14,5339.738095238095,0.2,0.00025,-7.728061185942756,39,0.04303882,29.868289311726887,0.023149175569415092,0.4796006944444444,-0.13561081886291504,21.297245025634766,1018.0
76,150,11520,15,5339.738095238095,0.2,0.00025,-7.528428938653734,42,0.054070357,38.60380846924252,0.04481964570004493,0.4835069444444444,0.3250134587287903,26.029550552368164,1018.0
81,150,12288,16,5788.604166666667,0.2,0.00025,-7.545729120572408,45,0.16374974,31.37954058912065,0.0661513346971737,0.5855034722222222,0.10327327251434326,18.97262191772461,1018.125
87,150,13056,17,5788.604166666667,0.2,0.00025,-7.667933669355181,48,0.13955285,31.374861359596252,0.049884129858886204,0.5594618055555556,0.5824699401855469,14.086715698242188,1018.125
91,150,13824,18,5572.574074074074,0.2,0.00025,-7.639035496446821,51,0.120650314,21.217096977763706,0.03761619853321463,0.5842013888888888,-0.16403186321258545,15.030900955200195,1018.2222222222222
96,150,14592,19,5572.574074074074,0.2,0.00025,-7.842113931973775,54,0.02587924,42.63377947277493,0.034876983755061194,0.48046875,-0.03825211524963379,30.064502716064453,1018.2222222222222
101,150,15360,20,5754.95,0.2,0.00025,-7.7091074387232466,57,0.07303139,14.863574359152052,0.02034626044203631,0.5394965277777778,0.11139810085296631,19.574735641479492,1018.3
106,151,16128,21,5754.95,0.2,0.00025,-7.64935001399782,60,0.05565339,16.729047040144604,0.02691343642719504,0.4826388888888889,0.23743820190429688,8.413503646850586,1018.3
111,151,16896,22,6150.348484848485,0.2,0.00025,-7.51752985186047,63,0.036166113,17.296158750851948,0.027079715264133282,0.4379340277777778,0.2551986575126648,11.893171310424805,1018.3636363636364
116,151,17664,23,6150.348484848485,0.2,0.00025,-7.659663750065698,66,0.044771325,25.18116479449802,0.029796568437531177,0.4544270833333333,0.1944197416305542,18.89056396484375,1018.3636363636364
121,151,18432,24,6553.513888888889,0.2,0.00025,-7.491611871454451,69,0.077036165,14.700041313966116,0.019564942663742438,0.45703125,0.4074496626853943,5.59628438949585,1018.4166666666666
126,151,19200,25,6553.513888888889,0.2,0.00025,-7.561949670314789,72,0.03080971,28.07169328795539,0.02886778665965216,0.4891493055555556,0.2839111089706421,20.144548416137695,1018.4166666666666
131,151,19968,26,6429.98717948718,0.2,0.00025,-7.529146717654334,75,0.048126984,24.278346412711674,0.03222881196415983,0.4756944444444444,0.5293087959289551,17.723512649536133,1014.3846153846154
136,152,20736,27,6429.98717948718,0.2,0.00025,-7.719976683457692,78,0.04470368,30.342672573195564,0.021458784299385216,0.3949652777777778,0.6877766251564026,11.963666915893555,1014.3846153846154
