time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean
297,1,768,2,,,,,,,,,,,,
195,2,1536,7,-8.291522396935356,3,17.869807051287758,0.036747057,0.2,1019.0,0.0016309618949890137,0.3463541666666667,0.0025432477317129574,0.00025,10.722175598144531,-805.0
175,3,2304,13,-8.225901709662544,6,26.78309314780765,0.03676644,0.2,1019.0,0.011794626712799072,0.4010416666666667,-0.00047370587061676715,0.00025,14.681605339050293,-805.0
162,4,3072,18,-8.211528990003798,9,12.310930656062233,0.08276644,0.2,1019.0,0.09815192222595215,0.4965277777777778,0.016427493214400277,0.00025,4.634369850158691,306.5
153,5,3840,24,-8.179290506574842,12,26.10376387172275,0.059244867,0.2,1019.0,-0.11022806167602539,0.3810763888888889,-0.0014062142387653391,0.00025,16.794631958007812,306.5
149,6,4608,30,-8.071290247970158,15,14.60698147614797,0.052233737,0.2,1019.0,0.16968077421188354,0.4978298611111111,0.013542816502093855,0.00025,13.210342407226562,1494.4444444444443
149,7,5376,36,-8.080599380864037,18,24.886050992541843,0.027807841,0.2,1019.0,0.03534376621246338,0.3276909722222222,0.004998964891355071,0.00025,14.863407135009766,1494.4444444444443
148,8,6144,41,-7.973302079571618,21,21.29721501138475,0.03282764,0.2,1019.0,-0.21483564376831055,0.3333333333333333,0.013145162167751955,0.00025,13.343482971191406,3176.75
147,9,6912,46,-7.904773328039381,24,18.249109983444214,0.08364427,0.2,1019.0,0.06550997495651245,0.6267361111111112,0.09363585284962836,0.00025,7.543893814086914,3176.75
147,10,7680,51,-7.580490509668986,27,33.21131424109141,0.05040002,0.2,1007.0666666666667,-0.09656906127929688,0.5394965277777778,0.058643778178116515,0.00025,15.193862915039062,4828.166666666667
147,11,8448,57,-7.746980395581987,30,54.276817202568054,0.08803817,0.2,1007.0666666666667,-0.02796149253845215,0.4822048611111111,0.04225042447473647,0.00025,7.521752834320068,4828.166666666667
147,12,9216,62,-7.9240345160166425,33,17.00004083580441,0.038522806,0.2,1009.0555555555555,-0.0028481483459472656,0.4609375,0.01626441832114425,0.00025,12.71500301361084,5009.972222222223
147,13,9984,67,-7.912482705381182,36,27.135207613309223,0.021979267,0.2,1009.0555555555555,0.022625982761383057,0.3927951388888889,0.008873704329339994,0.00025,12.99217700958252,5009.972222222223
147,14,10752,72,-7.754803670777215,39,14.074266884062025,0.11129127,0.2,1010.4761904761905,0.11807554960250854,0.4982638888888889,0.025715852285631828,0.00025,6.657283306121826,5532.214285714285
147,15,11520,78,-7.917591392993927,42,23.425654278861153,0.03914563,0.2,1010.4761904761905,0.30848079919815063,0.3585069444444444,0.009133579804458551,0.00025,11.734169006347656,5532.214285714285
146,16,12288,83,-7.8265880942344666,45,19.202320337295532,0.039238468,0.2,1011.5416666666666,-0.0066291093826293945,0.3971354166666667,0.008216762216761708,0.00025,22.70543670654297,6094.041666666667
146,17,13056,88,-7.686502297719319,48,42.095128893852234,0.0134735005,0.2,1011.5416666666666,0.22665709257125854,0.23914930555555555,0.00812414818857279,0.00025,39.97355651855469,6094.041666666667
144,18,13824,95,-7.6991576419936285,51,25.307941555976868,0.08174384,0.2,1012.3703703703703,-0.1661280393600464,0.4861111111111111,0.03741732525587496,0.00025,15.038041114807129,6726.240740740741
144,19,14592,101,-7.577508740954929,54,52.08467496765984,0.029692018,0.2,1012.3703703703703,0.4815424680709839,0.3506944444444444,0.019510638014051236,0.00025,47.056800842285156,6726.240740740741
144,20,15360,106,-7.534529017077552,57,31.20364440812005,0.028435199,0.2,1013.0333333333333,0.6488896012306213,0.4800347222222222,0.026099410722963512,0.00025,14.653302192687988,6870.8
145,21,16128,111,-7.755619512663947,60,33.401288045777214,0.03345486,0.2,1013.0333333333333,0.7719647288322449,0.3111979166666667,0.009888976398441527,0.00025,18.103437423706055,6870.8
145,22,16896,115,-7.571291400326623,63,15.065077066421509,0.10822498,0.2,1011.530303030303,0.16854941844940186,0.4765625,0.03233827162249428,0.00025,4.6620635986328125,7432.318181818182
146,23,17664,120,-7.444747156567043,66,36.32124768363105,0.03520867,0.2,994.75,0.5514249205589294,0.4075520833333333,0.009813720011152327,0.00025,20.897933959960938,7343.882352941177
146,24,18432,125,-7.577897588411967,69,20.683828095595043,0.0487247,0.2,996.0972222222222,0.8415126800537109,0.4761284722222222,0.022487470543839864,0.00025,21.114042282104492,7447.805555555556
147,25,19200,130,-7.618753519323137,72,21.892615225580002,0.1287796,0.2,996.7162162162163,0.891815185546875,0.5638020833333334,0.059920916139769055,0.00025,13.98354721069336,7554.621621621622
147,26,19968,135,-7.612048115995195,75,26.327666110462612,0.1093767,0.2,995.474358974359,0.6788782477378845,0.5941840277777778,0.0415471845254716,0.00025,11.00613784790039,7754.974358974359
148,27,20736,140,-7.602989183531867,78,55.03515108426412,0.104414225,0.2,996.0625,0.6320185661315918,0.5672743055555556,0.019845177716989484,0.00025,36.54507064819336,7839.6
148,28,21504,144,-7.657071544064416,81,44.407265067100525,0.08635876,0.2,997.1547619047619,0.49346035718917847,0.4891493055555556,0.019354164568034724,0.00025,22.98235321044922,7981.5952380952385
148,29,22272,149,-7.685177054670122,84,23.15266619788276,0.059867173,0.2,997.6627906976744,0.8166230916976929,0.4457465277777778,0.029757722436139982,0.00025,18.536422729492188,8066.837209302325
149,30,23040,154,-7.541789882712894,87,18.350733564959633,0.056939635,0.2,996.054945054945,0.8170769214630127,0.5264756944444444,0.024726429566120107,0.00025,12.286474227905273,8227.725274725275
149,31,23808,159,-7.6235584417978925,90,25.78962058491177,0.037582178,0.2,996.304347826087,0.8304975628852844,0.4461805555555556,0.0249291768996045,0.00025,16.180213928222656,8282.695652173914
149,32,24576,164,-7.503576689296299,93,14.049094888899061,0.093505435,0.2,997.4742268041238,0.860863208770752,0.5620659722222222,0.033359684981405735,0.00025,15.324356079101562,8422.072164948453
149,33,25344,169,-7.69248362382253,96,40.04876446723938,0.050025076,0.2,997.6938775510204,0.6345124244689941,0.3645833333333333,0.021246898628305644,0.00025,37.4083251953125,8448.877551020409
