#{"t_start": 1740854658.2886066, "env_id": "None"}
r,l,t
-1507.0,1019,10.900251
885.0,1019,21.407335
4915.0,1019,31.649095
6915.0,1019,43.615871
6473.0,1019,54.732328
1897.0,1019,65.062316
-8046.0,1019,75.56257
12609.0,1019,85.655652
13623.0,1019,94.781176
11959.0,1019,105.019668
10477.0,1019,114.91533
8605.0,1019,124.150582
11153.0,1019,134.392523
10061.0,1019,144.457646
10373.0,1019,153.572434
13961.0,1019,163.874515
14341.0,801,173.078293
2148.0,1019,183.259614
9775.0,1019,193.320496
11203.0,1019,202.490324
14013.0,1019,212.351268
-5946.0,1019,222.532166
10113.0,1019,232.054645
8553.0,1019,242.327778
9307.0,1019,252.930824
12843.0,1019,262.93347
6915.0,1019,273.742483
10555.0,1019,285.252469
9775.0,1019,295.76735
7071.0,1019,305.697858
9333.0,1019,315.683961
8709.0,1019,325.489233
-2724.0,1019,336.28161
13935.0,1019,348.550138
7452.0,745,355.080931
13077.0,1019,365.629581
11777.0,1019,376.389548
11469.0,611,382.783521
11335.0,1019,392.202141
-5663.0,1019,402.645539
6967.0,1019,413.059661
10633.0,1019,422.618566
9515.0,1019,433.380323
9489.0,1019,444.381482
11647.0,1019,454.588162
13181.0,1019,465.191731
9229.0,1019,475.896177
10867.0,1019,485.200353
11933.0,1019,495.146739
11595.0,1019,505.218281
12167.0,1019,514.803191
9905.0,1019,525.325159
12529.0,1019,536.612704
10295.0,1019,545.906398
9931.0,1019,555.965773
13155.0,1019,566.002545
8695.0,635,574.266789
14117.0,1019,583.892807
9479.0,637,589.691651
12089.0,1019,600.030735
8397.0,1019,609.643059
12557.0,1019,620.678534
13545.0,1019,630.827764
8318.0,1019,640.090309
12869.0,1019,651.059219
12427.0,1019,661.823924
8319.0,1019,1195.709635
11075.0,1019,1208.374413
11621.0,1019,1221.188838
12999.0,1019,1233.496277
12921.0,1019,1245.272005
11205.0,1019,1255.816543
11673.0,1019,1266.125059
11049.0,1019,1275.907872
14039.0,1019,1285.386261
13389.0,1019,1295.174608
13259.0,1019,1305.056086
8943.0,1019,1315.097912
12063.0,1019,1324.336033
12973.0,1019,1334.172788
11829.0,1019,1344.189975
8241.0,1019,1353.642538
9177.0,1019,1363.491826
11829.0,1019,1373.304199
9645.0,1019,1383.198006
11803.0,1019,1392.92571
13961.0,1019,1402.059201
8020.0,1019,1411.963917
10581.0,1019,1421.839435
12921.0,1019,1431.624072
9541.0,1019,1442.118232
10295.0,1019,1451.918761
9489.0,1019,1461.428999
9983.0,1019,1471.510978
9879.0,1019,1481.317253
12193.0,1019,1490.780347
15391.0,1019,1497.911307
13181.0,1019,1508.848211
13025.0,1019,1520.06033
14689.0,1019,1529.718819
13441.0,1019,1539.62328
14377.0,1019,1549.499541
12479.0,1019,1558.973362
9801.0,1019,1568.863892
11361.0,1019,1578.621938
10035.0,1019,1587.999943
9879.0,1019,1597.998082
10711.0,1019,1607.860389
12193.0,1019,1617.252589
12297.0,1019,1627.05322
10269.0,1019,1636.816763
14481.0,1019,1646.683799
2751.0,1019,1656.008334
10035.0,1019,1665.877536
11049.0,1019,1675.725384
10555.0,1019,1685.119834
12245.0,1019,1694.913509
-4817.0,1019,1704.737612
-1551.0,1019,1714.238347
11569.0,1019,1725.097497
13051.0,1019,1737.057612
14221.0,1019,1749.216574
13909.0,1019,1758.553545
15027.0,1019,1768.984913
12375.0,1019,1779.452158
13857.0,1019,2689.882924
12685.0,1019,2699.273475
12297.0,1019,2709.901306
13413.0,1019,2719.968377
11309.0,1019,2729.032062
13545.0,1019,2739.595526
11439.0,1019,2749.680958
10657.0,1019,2758.966543
7773.0,1019,2769.111259
7669.0,1019,2778.814206
8735.0,1019,2787.472698
8137.0,1019,2797.631679
10373.0,1019,2807.499406
12063.0,1019,2817.320022
11907.0,1019,2827.481801
10165.0,1019,2837.482635
13207.0,1019,2847.208399
7324.0,697,2856.004508
15075.0,1019,2866.941132
12765.0,1019,2874.054993
14169.0,1019,2883.212836
11725.0,1019,2893.235791
15807.0,1019,2903.808831
13623.0,1019,2914.760515
13049.0,1019,2925.543686
10815.0,1019,2935.866173
10607.0,1019,2945.081611
10217.0,1019,2955.539008
11361.0,1019,2966.054408
14923.0,1019,2976.385529
13155.0,1019,2985.966245
15413.0,1019,2995.940999
12167.0,1019,3005.953969
10893.0,1019,3015.668445
12141.0,1019,3025.954966
9385.0,1019,3035.689711
10607.0,1019,3045.350382
10997.0,1019,3055.363589
14609.0,1019,3065.288647
13701.0,1019,3075.353127
12375.0,1019,3086.124926
12219.0,1019,3096.712245
13493.0,1019,3107.146622
13857.0,1019,3118.391039
14333.0,1019,3128.948206
-13725.0,1019,3143.534748
14403.0,1019,3153.279626
11124.0,1019,3163.31725
9671.0,1019,3173.204013
11101.0,1019,3182.748753
9047.0,1019,3192.649655
9671.0,1019,3203.115407
-10116.0,1019,3213.244322
14975.0,1019,3224.001433
14559.0,1019,3234.133111
14819.0,1019,3244.037472
11387.0,1019,3252.672641
13597.0,1019,3262.948006
14975.0,1019,3273.026194
4613.0,1019,3283.159848
12241.0,1019,3293.366045
12557.0,1019,3303.372936
12583.0,1019,3315.288972
11985.0,1019,3325.096961
9905.0,1019,3335.41674
9957.0,1019,3345.991314
12635.0,1019,3355.01498
13519.0,1019,3365.091724
9255.0,1019,3376.223666
11047.0,1019,3386.628898
11699.0,1019,3398.36629
15807.0,1019,3409.023934
15673.0,1019,3418.671617
12427.0,1019,3428.669554
10841.0,1019,3438.792228
9021.0,1019,3449.11296
11517.0,1019,3459.523703
13467.0,1019,3470.686822
13259.0,1019,3480.722328
11673.0,1019,3489.30836
12949.0,1019,3499.637096
14013.0,1019,3510.375834
10295.0,1019,3522.074478
13519.0,1019,3534.188235
12349.0,1019,3544.47343
13907.0,1019,3554.767912
10399.0,1019,3563.831263
12739.0,1019,3574.035022
13049.0,1019,3583.978547
14009.0,1019,3593.218804
14139.0,1019,3603.527827
14559.0,1019,3613.785689
12843.0,1019,3623.85814
13545.0,1019,3633.773877
15339.0,1019,3643.093317
11907.0,1019,3654.360713
11699.0,1019,3664.650052
13337.0,1019,3674.326727
11621.0,1019,3685.086956
11335.0,1019,3696.820199
12843.0,1019,3706.745402
13125.0,1019,3716.910848
15077.0,1019,3726.695358
12011.0,1019,3736.340155
12349.0,1019,3747.633922
13985.0,1019,3758.500142
13571.0,1019,3768.846869
13935.0,1019,3779.279638
13207.0,1019,3790.113039
11543.0,1019,3800.204778
11699.0,1019,3810.489954
13077.0,1019,3820.065326
12037.0,1019,3830.072598
12037.0,1019,3840.647089
10945.0,1019,3854.469563
15025.0,1019,3865.31207
14065.0,1019,3875.658588
-14933.0,1019,3885.963377
13647.0,1019,3895.625629
14507.0,1019,3907.738107
13623.0,1019,3917.723217
14845.0,1019,3928.030799
17185.0,1019,3938.672987
10993.0,1019,3950.170217
12947.0,1019,3960.883158
-7811.0,1019,3971.076592
12711.0,1019,3980.59142
13155.0,1019,3990.429391
12349.0,1019,4000.662665
5078.0,1019,4014.169894
11692.0,634,4022.155003
11309.0,1019,4037.925732
14533.0,1019,4050.659421
15751.0,1019,4064.370281
11907.0,1019,4076.751673
13207.0,1019,4090.584416
11647.0,1019,4104.415208
14559.0,1019,4116.418675
7910.0,772,4126.806421
14505.0,1019,4140.038676
18222.0,1019,4153.651013
15079.0,1019,4168.92002
15807.0,1019,4463.021497
11855.0,1019,4476.595033
9905.0,1019,4490.943968
14661.0,1019,4505.12986
13779.0,1019,4518.79314
4651.0,1019,4532.490388
11153.0,1019,4547.540921
7461.0,1019,4565.096707
6022.0,1019,4579.868554
12245.0,1019,4593.971856
14195.0,1019,4609.504856
12661.0,1019,4623.397292
12921.0,1019,4638.288102
8932.0,571,4646.004316
11127.0,1019,4659.23357
14839.0,1019,4674.269836
6252.0,1019,4687.196909
10035.0,1019,4702.043956
10893.0,1019,4714.557255
13337.0,1019,4728.283425
-7920.0,1019,4742.77323
11777.0,1019,4756.546938
15131.0,1019,4769.873377
10721.0,615,4777.750722
13461.0,1019,4791.498094
13103.0,1019,4805.053849
10812.0,1019,4817.567671
7858.0,610,4829.667214
-12229.0,1019,4844.596251
12687.0,1019,4859.223214
12297.0,1019,4873.486996
13597.0,1019,4888.50793
8317.0,1019,4903.799703
13207.0,1019,4919.893835
15909.0,1019,4934.639179
7821.0,1019,4951.06971
15729.0,1019,4966.194705
11619.0,1019,4980.781926
9177.0,1019,4994.814127
13129.0,1019,5009.484606
13233.0,1019,5023.270402
13219.0,755,5030.933352
12635.0,1019,5044.801683
8865.0,1019,5059.089944
8579.0,1019,5073.580835
12635.0,1019,5088.103984
12973.0,1019,5101.451529
11621.0,1019,5115.637873
13831.0,1019,5129.983177
12297.0,1019,5144.110725
13493.0,1019,5156.753749
14715.0,1019,5171.724968
13283.0,1019,5186.473872
-10750.0,1019,5200.760191
13103.0,1019,5214.747844
13597.0,1019,5227.188963
9218.0,536,5234.138583
13129.0,1019,5247.922788
10177.0,651,5255.1742
11915.0,1019,5268.71012
10841.0,1019,5282.757758
13595.0,1019,5298.005811
14481.0,1019,5312.517119
12971.0,1019,5326.413885
5259.0,1019,5340.447741
2595.0,276,5349.62762
2679.0,275,5352.675775
2595.0,276,5355.729934
2735.0,276,5358.825657
2770.0,276,5361.991963
2315.0,276,5368.243994
2840.0,276,5371.474531
2665.0,276,5374.624013
2910.0,276,5377.698761
2679.0,275,5380.850089
2910.0,276,5384.412567
2280.0,276,5387.973614
2910.0,276,5391.311109
