time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/explained_variance
768,1,1,463,,,,,,,,,,,,
1536,2,5,271,-8.295969552463955,0.026532508,0.00025,1019.0,15.735544787512886,8.224508285522461,3,0.3159722222222222,-0.009257619708983434,0.2,-28229.666666666668,0.012007713317871094
2304,3,9,238,-8.214071962568495,0.021729955,0.00025,1019.0,36.10007272826301,49.93714141845703,6,0.4691840277777778,0.04359514448636522,0.2,-28229.666666666668,-0.037442684173583984
3072,4,13,224,-8.191275914510092,0.099151246,0.00025,1019.0,13.733706871668497,19.88467025756836,9,0.5486111111111112,0.04056891401867486,0.2,-27568.833333333332,0.17763656377792358
3840,5,19,192,-8.093161894215477,0.0393267,0.00025,1019.0,59.17647010750241,43.2042236328125,12,0.4900173611111111,0.03166827712104552,0.2,-27568.833333333332,-0.08720755577087402
4608,6,23,192,-8.054974734783173,0.18336058,0.00025,1019.0,15.914387292332119,15.609441757202148,15,0.5959201388888888,0.06459455831079847,0.2,-26609.0,0.07382464408874512
5376,7,28,190,-8.103620025846693,0.039242502,0.00025,1019.0,72.3990249633789,43.29043960571289,18,0.3771701388888889,0.015194520845802294,0.2,-26609.0,0.06790304183959961
6144,8,32,190,-8.08016581667794,0.022123486,0.00025,1019.0,24.270827372868855,20.648950576782227,21,0.3932291666666667,0.012092822438312901,0.2,-26158.5,-0.05791592597961426
6912,9,36,190,-8.137055198351542,0.09145682,0.00025,1019.0,88.09945662816365,33.55992889404297,24,0.4227430555555556,0.023196701348448794,0.2,-26158.5,-0.011609792709350586
7680,10,40,190,-8.152729524506462,0.171564,0.00025,1019.0,17.201027737723457,5.11977481842041,27,0.5625,0.03348360581245894,0.2,-26180.133333333335,0.3162580728530884
