time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
2,1,374,768,,,,,,,,,,,,
6,2,220,1536,-8.282307982444763,14.25231647491455,0.013966202735900879,3,0.2,30.21576976776123,0.4348958333333333,0.00025,0.03721272,0.024090763488655083,,
11,3,205,2304,-7.979272564252217,10.531088829040527,-0.06347823143005371,6,0.2,24.67701116535399,0.7222222222222222,0.00025,0.21453379,0.09930081781931221,,
20,4,152,3072,-7.889805363284217,10.731842041015625,-0.009184837341308594,9,0.2,24.79566678404808,0.5447048611111112,0.00025,0.056210328,0.05078481657740971,,
24,5,156,3840,-7.739053746064504,6.699464321136475,-0.07309675216674805,12,0.2,9.83949587908056,0.67578125,0.00025,0.25622478,0.10968326973832315,,
28,6,161,4608,-7.227578990989262,3.63665509223938,-0.23526334762573242,15,0.2,10.818469180001152,0.7018229166666666,0.00025,0.18421192,0.09560518198284423,,
32,7,165,5376,-6.333092265658909,2.3535776138305664,-0.1760483980178833,18,0.2,10.96001821756363,0.9058159722222222,0.00025,3.0690453,0.3026835554693308,,
36,8,166,6144,-5.175525943438212,2.322152853012085,-0.39739787578582764,21,0.2,4.718887043495973,0.7621527777777778,0.00025,0.6737893,0.1864253917398552,,
42,9,162,6912,-4.487261060211393,8.976685523986816,0.24420887231826782,24,0.2,9.777830702149206,0.7400173611111112,0.00025,1.1331372,0.1587830394014923,,
47,10,162,7680,-3.7956098549895816,1.660646677017212,-0.8641576766967773,27,0.2,4.5173289974530535,0.7035590277777778,0.00025,2.4305305,0.18167907043567133,,
52,11,161,8448,-3.52265641424391,0.829371988773346,0.3777487277984619,30,0.2,6.113008834421635,0.6510416666666666,0.00025,0.2038139,0.0785576020522664,,
56,12,163,9216,-3.438323732879427,1.3898518085479736,0.07766205072402954,33,0.2,4.673688819838895,0.7378472222222222,0.00025,6.250971,0.2499792386467258,,
61,13,163,9984,-2.678758958975474,0.8263817429542542,-0.26611101627349854,36,0.2,5.247816366453965,0.6423611111111112,0.00025,0.14542955,0.10105570765315658,,
65,14,163,10752,-2.268219530582428,0.8825602531433105,0.5422695875167847,39,0.2,2.340795950136251,0.8033854166666666,0.00025,0.60570145,0.19194677417787412,,
69,15,165,11520,-1.7312390042675867,14.151580810546875,-0.25029265880584717,42,0.2,8.45104004856613,0.6510416666666666,0.00025,0.08746473,0.11845655635827118,,
74,16,165,12288,-1.5014032158586714,1.0737601518630981,-0.2920701503753662,45,0.2,1.1723963369925816,0.3420138888888889,0.00025,0.024928177,0.01741772815067735,,
77,17,167,13056,-1.0669938400387764,3.249556064605713,0.28966057300567627,48,0.2,5.449639914764298,0.2964409722222222,0.00025,0.10947389,0.019507642874183755,,
81,18,169,13824,-0.9609832788507143,11.581460952758789,0.2410489320755005,51,0.2,21.502827485402424,0.12413194444444445,0.00025,0.017831726,0.014108698621081809,,
86,19,167,14592,-0.7403862145211961,3.4723474979400635,0.47766709327697754,54,0.2,10.115651562809944,0.12586805555555555,0.00025,0.043839213,0.013064842451260321,,
90,20,168,15360,-0.9571608015232616,2.405038356781006,0.130790114402771,57,0.2,7.695681926276949,0.4826388888888889,0.00025,0.054291863,0.056014632295247994,,
94,21,170,16128,-0.8104369466503462,14.974148750305176,0.3783884644508362,60,0.2,7.779966009987725,0.3077256944444444,0.00025,0.4591103,0.04707189965605115,,
98,22,171,16896,-0.27982925954792237,4.697203636169434,0.6391981840133667,63,0.2,8.366530324021975,0.04470486111111111,0.00025,0.0077668666,0.0036367334606539872,,
102,23,171,17664,-0.4220483841167556,6.173150062561035,0.5528929233551025,66,0.2,7.250922221276495,0.037760416666666664,0.00025,0.098250054,0.0010825571888643834,,
106,24,172,18432,-0.5051575294799275,4.244870185852051,0.4481358528137207,69,0.2,12.14547046687868,0.2686631944444444,0.00025,0.028302303,0.05989184766076505,,
110,25,173,19200,-0.3518693687187301,16.041406631469727,0.34147679805755615,72,0.2,8.314533174037933,0.04600694444444445,0.00025,0.009189265,0.0023308062550818753,,
