time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,train/value_loss
768,1,389,1,,,,,,,,,,,,
1536,8,177,2,0.00025,0.02526834,0.2,0.0012252330780029297,62.65730285644531,0.009647996087248126,-24310.333333333332,0.3038194444444444,3,-8.297098543908861,1019.0,49.82713390721215
2304,13,177,3,0.00025,0.021066552,0.2,0.01358407735824585,0.5417502522468567,0.002396873612370756,-24310.333333333332,0.2482638888888889,6,-8.294142458173964,1019.0,37.04632394388318
3072,17,177,4,0.00025,0.043234557,0.2,-0.14681708812713623,28.13300895690918,0.07474592634631942,-24299.5,0.5360243055555556,9,-8.187258270051744,1019.0,58.13517766528659
3840,21,176,5,0.00025,0.050662607,0.2,0.26200252771377563,1.896640658378601,0.030260238744732406,-24299.5,0.4184027777777778,12,-8.208062794473436,1019.0,48.409507271316315
4608,26,175,6,0.00025,0.031844046,0.2,0.020618021488189697,32.5084342956543,0.013604821094001332,-24326.222222222223,0.41015625,15,-8.21288177702162,1019.0,58.541877441936066
5376,30,175,7,0.00025,0.41490877,0.2,0.37640082836151123,12.682896614074707,0.10068563926809777,-24326.222222222223,0.68359375,18,-8.006672335995567,1019.0,40.73103963004218
6144,34,175,8,0.00025,0.052508086,0.2,0.35977703332901,32.28287887573242,0.0621610748478108,-23910.583333333332,0.5616319444444444,21,-7.999659346209632,1019.0,42.872371554374695
6912,41,164,9,0.00025,0.043990467,0.2,0.5194299221038818,10.06532096862793,0.032917042443942696,-23910.583333333332,0.4440104166666667,24,-7.995922830369738,1019.0,35.559481547938454
7680,46,166,10,0.00025,0.027898004,0.2,0.4279072880744934,23.97719383239746,0.0223897449258301,-23665.533333333333,0.3923611111111111,27,-8.022020273738438,1019.0,52.66443722777896
8448,50,166,11,0.00025,0.0454113,0.2,0.5120134949684143,25.930227279663086,0.01743847960864918,-23665.533333333333,0.4331597222222222,30,-7.8930403391520185,1019.0,39.64728192488352
9216,54,168,12,0.00025,0.030095125,0.2,0.5020460486412048,32.175392150878906,0.04326994533443616,-23444.38888888889,0.4388020833333333,33,-7.952672912014855,1019.0,48.88886208004422
9984,59,169,13,0.00025,0.042852823,0.2,0.5483307242393494,13.079317092895508,0.030689244507811964,-23444.38888888889,0.4292534722222222,36,-7.880780339241028,1019.0,44.0282131963306
10752,63,168,14,0.00025,0.021218399,0.2,0.675830066204071,21.179262161254883,0.014342221767745085,-23500.0,0.37109375,39,-7.8681824869579735,1019.0,42.33438845475515
11520,69,165,15,0.00025,0.030372279,0.2,0.5016758441925049,28.12862777709961,0.028883190114154585,-23500.0,0.3828125,42,-7.941476086775462,1019.0,64.48863603009119
12288,76,160,16,0.00025,0.034270946,0.2,0.49153244495391846,58.72893142700195,0.006296947119861013,-23561.208333333332,0.3355034722222222,45,-8.088120725419786,1019.0,56.20735250578986
13056,81,161,17,0.00025,0.05851318,0.2,0.7338379621505737,11.248534202575684,0.0408140534030584,-23561.208333333332,0.45703125,48,-8.021036605040232,1019.0,34.157253636254204
13824,85,161,18,0.00025,0.042435605,0.2,0.5187132358551025,20.17099952697754,0.05014279487335847,-23624.222222222223,0.4921875,51,-8.042697913116879,1019.0,50.588296135266624
14592,89,162,19,0.00025,0.07243876,0.2,0.7502011656761169,37.21509552001953,0.03838557359348568,-23624.222222222223,0.5182291666666666,54,-7.987461454338497,1019.0,44.49772825505998
