#{"t_start": 1755016106.0008886, "env_id": "None"}
r,l,t
-244.575,1622,13.846184
-274.644,1622,24.020479
-184.618,1622,49.45106
-133.208,1622,62.754761
-164.359,1622,77.626575
-140.837,1622,95.32878
-159.447,1622,106.954944
-126.317,1622,123.934246
-53.549,1622,136.06997
-41.696999,1622,147.405245
-405.197,1622,166.979057
-75.83,1622,177.403838
-639.601,1622,195.807565
-399.281501,1622,206.154267
-1333.002501,1622,217.664662
-1064.015001,1622,236.354852
-1.552,1622,246.658377
-1228.040002,1622,263.642356
-1141.0435,1622,273.410975
-1004.929,1622,284.270362
90.329,566,294.922649
-878.967001,1622,306.313946
-897.259,1622,317.267746
-12.512,1622,333.809324
-1071.852001,1622,343.759833
-106.278,1622,360.085342
10.082999,1622,369.558544
-109.022498,1056,375.448622
-246.9025,965,380.607826
-36.296,1622,395.821719
-44.401001,991,402.215829
-950.388,1622,412.816322
-867.095501,1622,431.234921
-94.014,593,435.17944
-0.928,1622,449.427617
-5.959,1622,469.380428
-24.725,1622,480.298441
-29.111001,1622,497.225773
4.833001,1622,509.424901
-29.665,1622,526.411561
-358.5445,1622,546.764479
135.318001,597,550.458171
-835.090001,1622,560.774474
-36.081,1622,577.384609
-862.3395,1622,590.243999
-154.606,874,596.544593
116.0835,616,600.033904
-47.798501,1124,611.608072
-58.682,1622,622.384182
-66.333,1622,638.835401
28.832999,1622,647.277933
4.721,1622,656.746481
-1062.525001,1622,673.626608
-51.163,834,679.064375
-716.558,1622,688.597117
-20.162,1622,705.346496
-4.757,1622,716.513815
-20.273,1622,736.209673
-122.028501,1622,746.237403
-50.49,1622,757.744796
-71.599,1622,774.79784
-46.482,1622,787.921208
-48.664,1622,806.899853
-35.017,1622,820.055778
-318.425001,1622,832.352346
-22.718,1622,849.934904
-1003.998,1622,861.147949
-1060.931001,1622,881.323753
-22.832,1622,891.630965
-37.805,1622,901.142808
82.466,798,905.337843
-870.593502,1622,921.523082
-10.362001,1622,930.70607
-16.493,1622,948.94266
-16.321,1622,959.528398
-27.385001,502,963.664661
61.399999,700,967.812929
-28.318,1622,986.287373
-11.671,1622,994.955588
-79.321,1622,1010.76571
133.688001,675,1015.998755
139.059999,657,1021.021607
-20.743,1086,1028.1828
-261.681501,1622,1047.164931
-43.511,1622,1058.196049
-21.064,1622,1070.183921
7.404,1622,1086.191449
-34.831,1622,1096.913618
-54.112,1622,1113.562523
6.565499,550,1117.067243
3.453999,754,1121.991947
-1027.417002,1622,1132.496489
140.978999,1121,1146.361588
-10.347,1622,1156.439275
-47.106,1622,1169.604346
132.041001,1156,1184.371626
135.608,561,1187.559351
141.443001,756,1192.059992
112.7675,663,1196.961944
143.786,569,1202.120645
-883.467,1347,1218.287093
109.345999,634,1222.398455
-8.867001,1622,1232.970163
52.426,785,1238.643544
144.201499,832,1244.72694
139.560001,990,1257.124747
141.263,547,1259.982749
33.227,1622,1270.261489
-3.429,1622,1286.273288
136.594001,845,1291.66966
-35.158,1622,1303.022576
110.032499,740,1308.408412
-20.239,1622,1328.173474
44.0775,1622,1342.229522
-15.994,1622,1358.641259
130.682501,570,1362.162304
-35.9915,1014,1368.098707
-675.4435,1622,1377.249861
109.9895,496,1386.667195
137.969499,920,1391.491072
137.663999,577,1394.49697
140.806,1105,1401.206722
