time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss
31,6144,195,-274.8905833333333,1622.0,1,,,,,,,,,,
76,12288,160,-238.008,1622.0,2,0.2727457682291667,-0.02809870961937122,0.2,4,16.66096341609955,0.016181918,0.00025,8.060288429260254,-0.0039827823638916016,-8.302964170773825
111,18432,165,-209.1419047619047,1622.0,3,0.2757161458333333,-0.02376961145394792,0.2,8,16.338020394245785,0.015296202,0.00025,6.749123573303223,0.11515390872955322,-8.269666651884714
146,24576,167,-190.5675333,1622.0,4,0.3424072265625,-0.02105404976949406,0.2,12,22.304952214161556,0.020257453,0.00025,9.404948234558105,0.11265736818313599,-8.200591425100962
182,30720,168,-211.48997220833334,1622.0,5,0.345703125,-0.0008764571151308095,0.2,16,27.630858262379963,0.023431351,0.00025,8.18477725982666,0.16543501615524292,-8.10087502002716
218,36864,168,-313.3710112444445,1622.0,6,0.5177001953125,0.03589170607059108,0.2,20,30.2394404510657,0.060622245,0.00025,8.966788291931152,0.5377830266952515,-8.021725237369537
252,43008,170,-394.7378652300001,1622.0,7,0.3011881510416667,0.015732328480225988,0.2,24,29.452609171470005,0.014679357,0.00025,6.795053482055664,0.7886654138565063,-8.08656727274259
284,49152,172,-517.2559053399999,1622.0,8,0.2742513020833333,0.013017896393042369,0.2,28,45.973023215929665,0.014755625,0.00025,17.675302505493164,0.892922580242157,-8.04804801940918
319,55296,172,-562.79225539,1611.44,9,0.264404296875,0.0098100498750379,0.2,32,51.53543074925741,0.022850163,0.00025,13.254971504211426,0.9137750864028931,-8.05358233054479
351,61440,174,-638.83534046,1611.44,10,0.2576904296875,0.008515224908478558,0.2,36,46.460023840268455,0.011969451,0.00025,15.913901329040527,0.9380397796630859,-8.103431006272634
380,67584,177,-696.1814005399999,1582.36,11,0.2727457682291667,0.007115656408132054,0.2,40,61.98464401563009,0.017701415,0.00025,26.983659744262695,0.9376065135002136,-8.069180910785994
411,73728,179,-676.54537054,1576.05,12,0.2359619140625,0.004713254335608023,0.2,44,72.49082871278127,0.0146352695,0.00025,27.191547393798828,0.9438036680221558,-8.072100376089415
451,79872,177,-582.2371602999999,1534.91,13,0.29833984375,0.011245045895824054,0.2,48,48.79858249425888,0.018786825,0.00025,15.38231086730957,0.9552368521690369,-8.01942470173041
487,86016,176,-457.49556523,1497.83,14,0.22835286458333334,0.0055674292671028525,0.2,52,81.31896193822224,0.013887507,0.00025,36.149444580078125,0.9457778334617615,-8.02988238632679
529,92160,174,-382.77367018000007,1499.21,15,0.23238118489583334,0.001774012365785893,0.2,56,62.630338390668236,0.01476208,0.00025,27.543899536132812,0.8999284505844116,-7.965967158476512
563,98304,174,-351.43879022999994,1457.44,16,0.2804768880208333,0.006134283374800968,0.2,60,39.94065719842911,0.022789493,0.00025,14.441878318786621,0.9128907322883606,-7.927415336171786
598,104448,174,-251.41695515,1435.13,17,0.22831217447916666,0.004549116990043937,0.2,64,66.09599486986797,0.014820531,0.00025,31.7596378326416,0.9394888877868652,-7.933105732003848
629,110592,175,-212.98211514999994,1399.96,18,0.2639973958333333,0.002147713787659692,0.2,68,57.29247283935547,0.016172698,0.00025,25.555435180664062,0.9305930137634277,-7.977891678611438
658,116736,177,-182.36745521999998,1341.65,19,0.2768961588541667,0.007615518639795482,0.2,72,44.538981000582375,0.024344124,0.00025,18.76304054260254,0.947594940662384,-7.939084852735202
690,122880,177,-237.48070529000003,1318.62,20,0.22379557291666666,0.0015184207489558805,0.2,76,76.29919624328613,0.01516892,0.00025,29.018476486206055,0.9314262866973877,-7.957334364453952
726,129024,177,-226.98355023,1322.17,21,0.22798665364583334,0.003424881911390306,0.2,80,59.95399443308512,0.01641883,0.00025,23.688854217529297,0.9553103446960449,-7.961774175365766
759,135168,177,-198.42438022,1317.27,22,0.2948811848958333,0.003942815582073915,0.2,84,54.80740054448446,0.025353422,0.00025,19.684682846069336,0.9274803400039673,-7.917348563671112
797,141312,177,-182.9673202,1324.83,23,0.3216552734375,0.00542807702004211,0.2,88,46.349727272987366,0.017958848,0.00025,19.17936134338379,0.928148090839386,-7.890931035081546
836,147456,176,-160.19181516999998,1379.26,24,0.4810791015625,0.02177462678810116,0.2,92,35.34982558091482,0.11460944,0.00025,21.41596031188965,0.9326117634773254,-7.822203149398168
872,153600,176,-168.08271016999998,1405.75,25,0.3795572916666667,0.009479743559495546,0.2,96,34.86303269863129,0.029576266,0.00025,15.817253112792969,0.9350036382675171,-7.796450878183047
903,159744,176,-172.86165011999998,1436.68,26,0.2542317708333333,0.0038224660311243497,0.2,100,50.488076051076256,0.021598384,0.00025,16.954242706298828,0.9491285681724548,-7.855124304691951
935,165888,177,-184.26665520999998,1407.61,27,0.2533772786458333,0.0029610300553031266,0.2,104,53.5137705206871,0.022405557,0.00025,14.531230926513672,0.9528515338897705,-7.805587947368622
970,172032,177,-169.11259518,1346.29,28,0.2797444661458333,0.00019278235655898848,0.2,108,63.5442373752594,0.017222757,0.00025,32.38298034667969,0.9484613537788391,-7.793627520402272
1001,178176,177,-174.65077520000003,1342.45,29,0.2558186848958333,0.004434511579650764,0.2,112,53.00734859704971,0.01817517,0.00025,21.720619201660156,0.9279800057411194,-7.740961134433746
1037,184320,177,-150.75280515,1292.68,30,0.3654378255208333,0.0028747120037830123,0.2,116,25.073303133249283,0.02653849,0.00025,9.122352600097656,0.9101542830467224,-7.660890206694603
1072,190464,177,-100.15500507,1304.96,31,0.2850748697916667,0.005617862300520453,0.2,120,41.69630833466848,0.018935533,0.00025,14.920897483825684,0.9406660795211792,-7.674612785379092
