time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss
6144,37,164,-271.97466666666674,1,1622.0,,,,,,,,,,
12288,76,161,-236.58106666666666,2,1622.0,4,0.2,-8.301962425311407,0.00025,0.01338702,0.2844645182291667,-0.0045593976974487305,-0.027920789216295816,16.657599816719692,8.183624267578125
18432,114,161,-207.31371428571427,3,1622.0,8,0.2,-8.266992777585983,0.00025,0.017148506,0.28564453125,0.10764801502227783,-0.024066096734410774,17.377303143342335,7.36848258972168
24576,148,165,-184.93909168333337,4,1622.0,12,0.2,-8.197401255369186,0.00025,0.020837462,0.3416748046875,0.13306182622909546,-0.020930463060115773,21.160808801651,9.840850830078125
30720,182,167,-243.98198635616438,5,1610.4520547945206,16,0.2,-8.106837650140127,0.00025,0.022820467,0.3450520833333333,0.18136966228485107,-0.0061666076217079535,25.694347321987152,7.408928394317627
36864,216,169,-348.6388627912088,6,1589.934065934066,20,0.2,-7.943474094072978,0.00025,0.40132323,0.5819091796875,0.6230255365371704,0.08984653786562073,34.86481237411499,8.361448287963867
43008,249,172,-391.46540015000005,7,1570.41,24,0.2,-8.009430408477783,0.00025,0.02484742,0.3702392578125,0.8440850377082825,0.039148785450379364,48.21410461266836,11.461795806884766
49152,283,173,-467.37009022,8,1570.41,28,0.2,-8.014045635859171,0.00025,0.015020046,0.21382649739583334,0.9120053052902222,0.00802567648255111,50.47196082274119,20.20276641845703
55296,314,175,-484.4920602,9,1563.68,32,0.2,-8.031152293086052,0.00025,0.011774066,0.2696940104166667,0.9260163307189941,0.009849939931882545,58.517569184303284,16.538333892822266
61440,348,176,-500.65525521,10,1563.68,36,0.2,-8.052152082324028,0.00025,0.01994026,0.2509358723958333,0.9471491575241089,0.01101772656935888,41.81429147720337,18.842443466186523
67584,382,176,-513.6970651899999,11,1547.34,40,0.2,-8.017502844333649,0.00025,0.029541766,0.3023274739583333,0.9419442415237427,0.012529512932815123,47.62017387151718,16.67898178100586
73728,418,176,-457.50192016,12,1555.77,44,0.2,-8.02312662700812,0.00025,0.023046633,0.24247233072916666,0.952929675579071,0.008010574878426269,66.30263050397237,24.162019729614258
79872,449,177,-402.09002011000007,13,1574.44,48,0.2,-8.001043940583864,0.00025,0.027007854,0.3218180338541667,0.9392106533050537,0.012994135050879171,57.68705173333486,30.526538848876953
86016,487,176,-362.16976009999996,14,1572.46,52,0.2,-7.9806839028994245,0.00025,0.015965587,0.2847086588541667,0.9448488354682922,0.00419853725664628,87.14995622634888,28.018476486206055
92160,520,177,-289.98699007000005,15,1568.32,56,0.2,-7.906885211666425,0.00025,0.016920054,0.22896321614583334,0.9404237866401672,0.005387842085231871,54.65269589424133,36.89703369140625
98304,552,177,-325.75577014000004,16,1540.72,60,0.2,-7.842816819747289,0.00025,0.03489017,0.4021402994791667,0.9262455105781555,0.01896462219156092,48.630959928035736,21.193958282470703
104448,590,176,-352.54751519999996,17,1537.38,64,0.2,-7.94329996407032,0.00025,0.023234567,0.30859375,0.9404517412185669,0.011104058076549942,87.13234202067058,31.787446975708008
110592,627,176,-305.90930517,18,1544.44,68,0.2,-7.941975777347882,0.00025,0.019029057,0.2542317708333333,0.9474903345108032,0.006759125681128353,68.29573277632396,28.815515518188477
116736,659,176,-305.6191902,19,1537.14,72,0.2,-7.888000835975011,0.00025,0.06723785,0.4135335286458333,0.9361395835876465,0.016947365991654806,29.3263334830602,16.704858779907227
122880,691,177,-363.05410522,20,1543.13,76,0.2,-7.829455758134524,0.00025,0.019827181,0.2967529296875,0.945511519908905,0.0099962688764208,68.41296088695526,29.509695053100586
129024,723,178,-356.70052525,21,1496.26,80,0.2,-7.859253356854121,0.00025,0.02402032,0.2762044270833333,0.9542553424835205,0.004166646084437768,57.23437803983688,19.47107696533203
