formula,trace,synthesized stl,theta optimal value,optimization time,test result,robustness
"G[0, 72] ( ((phidot > 0.5)|(phidot < -0.5)) -> kart1_speed < a? 0;80)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace00_with_phidot.csv,"G[0.0,72.0](((phidot > 0.5) | (phidot < -0.5)) => (kart1_speed < 0.00593326533578))",0.89528121836759944,0.02484900000000012,[True],[0.4446713887155056]
"F[0, a? 1;70]( kart1_speed < 20 )",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace00_with_phidot.csv,"F[0.0,1.00638929318](kart1_speed < 20.0)",0.03673944627042831,0.018368000000000162,[True],[20.0]
"G[a? 0;60, b? 10;72](phidot < 0.5)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace00_with_phidot.csv,"G[0.00554236261529,71.9933426298](phidot < 0.5)",0.31790939254234096,0.026101999999999848,[True],[0.5]
"G[0, 72] ( ((phidot > 0.5)|(phidot < -0.5)) -> kart1_speed < a? 0;80)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace01_with_phidot.csv,"G[0.0,72.0](((phidot > 0.5) | (phidot < -0.5)) => (kart1_speed < 0.00739514086316))",1.0502508306742817,0.027288000000000423,[True],[0.5]
"F[0, a? 1;70]( kart1_speed < 20 )",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace01_with_phidot.csv,"F[0.0,1.00667700506](kart1_speed < 20.0)",0.04271496240328808,0.022031000000000134,[True],[20.0]
"G[a? 0;60, b? 10;72](phidot < 0.5)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace01_with_phidot.csv,"G[0.00788073970771,71.9901296243](phidot < 0.5)",0.39377853736506541,0.04150100000000023,[True],[0.5]
"G[0, 72] ( ((phidot > 0.5)|(phidot < -0.5)) -> kart1_speed < a? 0;80)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace03_with_phidot.csv,"G[0.0,72.0](((phidot > 0.5) | (phidot < -0.5)) => (kart1_speed < 0.00799850227363))",1.0502508306742817,0.021570000000000533,[True],[0.5]
"F[0, a? 1;70]( kart1_speed < 20 )",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace03_with_phidot.csv,"F[0.0,1.00757270132](kart1_speed < 20.0)",0.04756331825791247,0.010658000000001167,[True],[20.0]
"G[a? 0;60, b? 10;72](phidot < 0.5)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace03_with_phidot.csv,"G[0.00516871540931,71.992638918](phidot < 0.5)",0.32928218128960568,0.014464000000000254,[True],[0.5]
"G[0, 72] ( ((phidot > 0.5)|(phidot < -0.5)) -> kart1_speed < a? 0;80)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace02_with_phidot.csv,"G[0.0,72.0](((phidot > 0.5) | (phidot < -0.5)) => (kart1_speed < 0.00600216416855))",1.0502508306742817,0.01759799999999956,[True],[0.5]
"F[0, a? 1;70]( kart1_speed < 20 )",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace02_with_phidot.csv,"F[0.0,1.00610063272](kart1_speed < 20.0)",0.03729074438201479,0.010853999999998365,[True],[20.0]
"G[a? 0;60, b? 10;72](phidot < 0.5)",/home/kvsakano/TeLEX/tests/data/folder_full_of_traces/playback_trace02_with_phidot.csv,"G[0.00760753735404,71.9944509751](phidot < 0.5)",0.34823389668592403,0.02023999999999937,[True],[0.5]
